"Shipping&nbsp;Rates&nbsp;ForUnited States","Standard","Standard","Expedited/2nd&nbsp;Day","Expedited/2nd&nbsp;Day","Overnight","Overnight"
"Type&nbsp;of&nbsp;Item","Cost&nbsp;ofFirst&nbsp;Item","AdditionalItems&nbsp;(each)","Cost&nbsp;ofFirst&nbsp;Item","AdditionalItems&nbsp;(each)","Cost&nbsp;ofFirst&nbsp;Item","AdditionalItems&nbsp;(each)"
"Photos Magnets and Note Cards","$4.99 to $7.99 for each item depending on box size.","$0.99","$7.99","$1.99","$12.99","$2.99"
"Posters and Art Prints","$4.99 to $7.99 for each item depending on box size.","$0.99","$8.99","$1.99","$12.99","$2.99"
"Tin Signs Calendars and T-Shirts","$4.99 to $7.99 for each item depending on box size.","$0.99","$9.99","$1.99","$15.99","$2.99"
"Wall Tapestries","$9.99 for each item.","$9.99 for each item.","$24.99 for each item.","$24.99 for each item.","$29.99 for each item.","$29.99 for each item."
"Canvas Transfers","{Free Shipping|$7.99 to $39.99 for each item depending on box size.}","{Free Shipping|$7.99 to $39.99 for each item depending on box size.}","$9.99 to $49.99 for each item depending on box size.","$9.99 to $49.99 for each item depending on box size.","$15.99 to $59.99 for each item depending on box size.","$15.99 to $59.99 for each item depending on box size."
"Decorative Mirrors","{Free Shipping|$7.99 to $39.99 for each item depending on box size.}","{Free Shipping|$7.99 to $39.99 for each item depending on box size.}","$9.99 to $49.99 for each item depending on box size.","$9.99 to $49.99 for each item depending on box size.","$15.99 to $59.99 for each item depending on box size.","$15.99 to $59.99 for each item depending on box size."
"Framed and Mounted Items","{Free Shipping|$7.99 to $39.99 for each item depending on box size.}","{Free Shipping|$7.99 to $39.99 for each item depending on box size.}","$9.99 to $49.99 for each item depending on box size.","$9.99 to $49.99 for each item depending on box size.","$15.99 to $59.99 for each item depending on box size.","$15.99 to $59.99 for each item depending on box size."
"Ready Made Frames","{Free Shipping|$5.99 to $53.99 for each item depending on box size.}","{Free Shipping|$5.99 to $53.99 for each item depending on box size.}","$19.99 to $119.99 for each item depending on box size.","$19.99 to $119.99 for each item depending on box size.","$18.99 to $194.99 for each item depending on box size.","$18.99 to $194.99 for each item depending on box size."
"Stand-Ups","$7.99 to $19.99 for each item depending on box size.","$7.99 to $19.99 for each item depending on box size.","$19.99 to $29.99 for each item depending on box size.","$19.99 to $29.99 for each item depending on box size.","$24.99 to $39.99 for each item depending on box size.","$24.99 to $39.99 for each item depending on box size."
