"emperor","born - died","reign as emperor","succession","cause of death"
"augustus","63 bc - 14 ad","27 bc -  14 ad","became de facto emperor as a result of the 'first settlement' between himself and the roman senate.","natural causes."
"tiberius","42 bc - 37ad","14 ad -  37 ad","son of augustus's wife liia by a previous marriage; adopted son of augustus.","probably old age possibly assassinated"
"caligula","12 ad - 41 ad","37 ad - 41 ad","son of tiberius's nephew germanicus.","assassinated in a conspiracy involving senators and praetorian guards."
"claudius","10 bc - 54 ad","41 ad - 54 ad","nephew of tiberius brother of germanicus and uncle of caligula; proclaimed emperor by the praetorian guard.","probably poisoned by his wife agrippina the younger in favour of her son nero."
"nero","37 ad - 68 ad","54 ad -  68 ad","grandson of germanicus step and adopted son of claudius.","committed suicide after being declared a public enemy by the senate."
"galba","3 bc - 69 ad","68 ad -  69 ad","seized power after nero's suicide with support of the spanish legions","murdered by praetorian guard"
"otho","32 ad - 69 ad","69 ad - 69 ad","appointed by praetorian guard","committed suicide after losing battle of bedriacum to vitellius"
"vitellius","15 ad - 69 ad","69 ad - 69 ad","seized power with support of german legions (in opposition to galba/otho)","murdered by vespasian's troops"
"vespasian","9 ad - 79 ad","69 ad - 79 ad","seized power with the support of the eastern legions (in opposition to vitellius)","natural causes"
"titus","39 ad - 81 ad","79 ad - 81 ad","son of vespasian","natural causes (plague)"
"domitian","51 ad - 96 ad","81 ad - 96 ad","son of vespasian","assassinated by court officials"
"nerva","30 ad","96 ad - 98 ad","appointed by the senate","natural causes"
"trajan","53 ad - 117 ad","98 ad - 117 ad","adopted son and heir of nerva","natural causes"
"hadrian","76 ad - 138 ad","117 ad -  138 ad","adopted son and heir of trajan","natural causes"
"antoninus pius","86 ad - 161 ad","138 ad -  161 ad","adopted son and heir of hadrian","natural causes"
"lucius verus","130 ad - 169 ad","161 ad -&#160;169 ad","adopted son and heir of antoninus pius; co-emperor with marcus aurelius until death","natural causes (plague)"
"marcus aurelius","121 ad - 180 ad","161 ad - 180 ad","adopted son and heir of antoninus pius; co-emperor with lcius verus until 169 ad","natural causes"
"commodus","161 ad - 192 ad","177 ad - 192 ad","natural son of marcus aurelius; joint emperor from 177 ad","assassinated in palace strangled to death"
