"година","добитник[a]","добитник[a]","земја[b]","образложување[c]"
"1901","NULL","јакоб хенрик ван хоф","холандија","{осмотскиот притисок|[5]}"
"1902","NULL","херман емил фишер","германија","{шекер|пурин|[6]}"
"1903","NULL","сванте август арениус","шведска","{дисоцијација|[7]}"
"1904","NULL","сир вилијам рамзи","велика британија","{инертни гасови во атмосферата|[8]}"
"1905","NULL","адолф вон баејер","германија","„[за] унапредување на органската хемија и хемиската индустрија[9]"
"1906","NULL","хенри моасан","франција","{флуор|[10]}"
"1907","NULL","едвард бухнер","германија","„за неговите биохемиски истражувања и откритието на слободноќелиска ферментација[11]"
"1908","NULL","ернест рутерфорд","велика британијанов зеланд","„за истражување од областа на распаѓање на елементи и истражувња на радиоактивните супстанци[12]"
"1909","NULL","вилхелм оствалд","германија","{catalysis|[13]}"
"1910","NULL","ото валах","германија","{alicyclic compounds|[14]}"
"1911","NULL","марија склодовска - кири","франција","{radium|polonium|[15]}"
"1912","NULL","виктор григнард","франција","{grignard reagent|[16]}"
"1912","NULL","пол сбатиер","франција","{hydrogenating|[16]}"
"1913","NULL","алфред вернер","швајцарија","{linkage of atoms in molecules|[17]}"
"1914","NULL","теодора вилиам ричардс","сад","{atomic weight|[18]}"
"1915","NULL","ричард мартин вилстетер","германија","{chlorophyll|[19]}"
"1916","не е доделена","не е доделена","не е доделена","не е доделена"
"1917","не е доделена","не е доделена","не е доделена","не е доделена"
"1918","NULL","фриц хабер","германија","{synthesis of ammonia|[20]}"
"1919","не е доделена","не е доделена","не е доделена","не е доделена"
"1920","NULL","валтер херман нернст","германија","{thermochemistry|[21]}"
"1921","NULL","фредерик соди","велика британија","{isotopes|[22]}"
"1922","NULL","франсис вилиам астон","велика британија","{isotopes|whole-number rule|[23]}"
"1923","NULL","фриц прегл","австрија","{micro-analysis|[24]}"
"1924","не е доделена","не е доделена","не е доделена","не е доделена"
"1925","NULL","ричард адолф сигмонди","германија","{colloid|[25]}"
"1926","NULL","теодор сведберг","шведска","{his work on disperse systems|[26]}"
"1927","NULL","хајнрих ото виланд","германија","{bile acids|[27]}"
"1928","NULL","адолф ото рајнхолд виндаус","германија","{sterols|vitamins|[28]}"
"1929","NULL","артур харден","велика британија","{fermentative enzymes|[29]}"
"1929","NULL","ханс вон еулер-члпин","германија","{fermentative enzymes|[29]}"
"1930","NULL","ханс фишер","германија","{haemin|chlorophyll|[30]}"
"1931","NULL","карл бош","германија","{chemical high pressure methods|[31]}"
"1931","NULL","фридрих бергиус","германија","{chemical high pressure methods|[31]}"
"1932","NULL","ирвинг лангмур","сад","{discoveries|investigations|[32]}"
"1933","не е доделена","не е доделена","не е доделена","не е доделена"
"1934","NULL","харолд клејтон уреј","сад","{heavy hydrogen|[33]}"
"1935","NULL","фредерик жолиот","франција","{synthesis of new radioactive elements|[34]}"
"1935","NULL","ирене жолио кири","франција","{synthesis of new radioactive elements|[34]}"
"1936","NULL","петар дибеј","холандија","{dipole moments|diffraction of x-rays and electrons in gases|[35]}"
"1937","NULL","волтер ховарт","велика британија","{vitamin c|[36]}"
"1937","NULL","пол карер","швајцарија","{carotenoids|flavins|a|b2}"
"1938","NULL","ричард кун","германија","{carotenoids|vitamins|[37]}"
"1939","NULL","адолф бутенанд","германија","{sex hormones|[38]}"
"1939","NULL","лавослав ружичка","швајцарија","{terpenes|[38]}"
"1940","не е доделена","не е доделена","не е доделена","не е доделена"
"1941","не е доделена","не е доделена","не е доделена","не е доделена"
"1942","не е доделена","не е доделена","не е доделена","не е доделена"
"1943","NULL","георг де хевеси","унгарија","{tracers|[39]}"
"1944","NULL","ото хан","германија","{fission|[40]}"
"1945","NULL","артури илари виртанен","финска","{fodder preservation method|[41]}"
"1946","NULL","џејмс б. самер","сад","{enzymes|[42]}"
"1946","NULL","џон ховард нортроп","сад","{virus proteins|[43]}"
"1946","NULL","вендеч мередит стенли","{virus proteins|[43]}","сад"
"1947","NULL","роберт робинсон","велика британија","{plant products of biological importance|[44]}"
"1948","NULL","арне целиус","швајцарија","{electrophoresis|serum proteins|[45]}"
"1949","NULL","вилиам гиок","сад","{contributions in the field of chemical thermodynamics|[46]}"
"1950","NULL","ото дилс","германија","{diene synthesis|[47]}"
"1950","NULL","курт алдер","германија","{diene synthesis|[47]}"
"1951","NULL","едвин мекмилан","сад","{transuranium elements|[48]}"
"1951","NULL","глен т. сиборг","сад","{transuranium elements|[48]}"
"1952","NULL","арчер џон портер мартин","велика британија","{partition chromatography|[49]}"
"1952","NULL","ричард лоренс милингтон синге","велика британија","{partition chromatography|[49]}"
"1953","NULL","херман штаудингер","германија","{macromolecular chemistry|[50]}"
