"Country","Receiving locations affiliated with","Currency"
"China","Agricultural Bank of China Postal Savings Bank Of China China Everbright Bank Chinapay E-Payment Service Co.Ltd Harbin Bank Co. Ltd. Bank Of Jilin Co. Limited Fujian Haixia Bank Co. Ltd Zhejiang Chouzhou Commercial Bank Co. Ltd.","US Dollar"
"Philippines","eBusiness Services Inc. Universal Storefront Services Corp Villarica Pawnshop Philippine National Bank Robinson Savings Bank","PH PesoUS Dollar"
"Brazil","Banco do Brasil S.A. Bradesco Action Cambio DTVM Corretora Souza Barros Encantur Fair Corretora de Cambio Ltda","US Dollar"
"Peru","DHL International S.A. A. Serviban S.A.","Nuevo SolUS Dollar"
"Taiwan","Cathay United Bank Chang Hwa Commercial Bank King's Town Bank Ltd. Taishin International Bank","US Dollar"
"Hong Kong","Hong Kong Post Lotus Forex Limited Travelex Currency Exchange Ltd. Wall Street Exchange Limited","HK dollarUS dollar"
"South Korea","National Agricultural Cooperative Federation (NH Bank) Industrial Bank of Korea Kookmin Bank Pusan Bank","US Dollar"
"India","State Bank of India India Post ING Vysya Bank Ltd. Reliance Money Express Limited Weizmann Forex Ltd.","IN Rupee"
"Indonesia","PT Bank Internasional Indonesia PT POS Indonesia PT Bank Bumiputera Indonesia Bank Rakyat Indonesia Pt Bank Ekonomi Raharja T","Rupiah"
"Thailand","Thailand Post Co.Ltd. Central Department Store Co. Ltd. Bank of Ayudhya Public Company Limited Bank For Agriculture And Agricultural Cooperatives Bangkok Bank Public Company Limited","Baht"
"Vietnam","Vietnam Post VP Bank Vietnam Bank For Industry And Trade Dba Vietinbank Vietnam Bank for Agriculture and Rural Development Bank for Investment and Development of Vietnam","US DollarVN Dong"
"USA","KMART US BANK TRAVELEX CURRENCY FIFTH THIRD BANK CONTINENTAL CURRENCY","US Dollar"
"UK","Travelex Gracekennedy Money Services (Uk) Limited Finint Uk Ltd G.A.P. Vassilopoulos Uk Limited Western Union Intl Bank GMBH","Pound Sterling"
"Australia","Australia Post American Express Foreign Exch Citilink Finance (Australia) Pty Ltd. City Forex (Aust.) Pty. Ltd. Travelex","AU Dollar"
"Nigeria","Ecobank Nigeria PLC Bank Phb Plc Diamond Bank PLC United Bank Of Africa Plc SKYE Bank PLC","NairaUS Dollar"
"Ghana","Ecobank Ghana Ltd. Access Bank (Ghana)Limited Agricultural Development Bank Standard Chartered Bank Ghana Ltd. Intercontinental Bank Ghana Limited","New Ghana Cedi"
