"destination airport","city","country","airline"
"aarhus airport (aar)","aarhus","denmark","ryanair"
"abruzzo international airport (psr)","pescara","italy","ryanair"
"adnan menderes airport (adb)","izmir","turkey","kibris turkish"
"adnan menderes airport (adb)","izmir","turkey","thomas cook airways"
"adnan menderes airport (adb)","izmir","turkey","thomsonfly charter"
"alicante airport (alc)","alicante","spain","easyjet"
"almeria airport (lei)","almeria","spain","easyjet"
"almeria airport (lei)","almeria","spain","ryanair"
"amsterdam schiphol airport (ams)","amsterdam","netherlands","easyjet"
"ancona airport (aoi)","ancona","italy","ryanair"
"antalya airport (ayt)","antalya","turkey","kibris turkish"
"antalya airport (ayt)","antalya","turkey","thomas cook airways"
"antalya airport (ayt)","antalya","turkey","thomsonfly charter"
"antalya airport (ayt)","antalya","turkey","turkish airways"
"asturias airport (ovd)","oviedo","italy","easyjet"
"ataturk international airport (ist)","istanbul","turkey","turkish airways"
"baden airport (fkb)","baden-baden","germany","ryanair"
"barcelona international airport (bcn)","barcelona","spain","easyjet"
"bari international airport (bri)","bari","italy","ryanair"
"belfast international airport (bfs)","belfast","uk","easyjet"
"ben gurion international airport (tlv)","tel aviv","israel","el al"
"ben gurion international airport (tlv)","tel aviv","israel","israir"
"bergen airport (bgo)","bergen","norway","norwegian air shuttle"
"bergerac-roumaniere airport (egc)","bergerac","france","ryanair"
"berlin-schonefeld international airport (sxf)","berlin","germany","ryanair"
"berlin-tegel international airport (txl)","berlin","germany","air berlin"
"biarritz-anglet-bayonne airport (biq)","biarritz","france","ryanair"
"bilbao airport (bio)","bilbao","spain","easyjet"
"blackpool international airport (blk)","blackpool","uk","ryanair"
"bremen airport (bre)","bremen","germany","ryanair"
"brescia airport (vbs)","brescia","italy","ryanair"
"brindisi airport (bds)","brindisi","italy","ryanair"
"brno-turany airport (brq)","brno","czech republic","ryanair"
"brussels south charleroi airport (crl)","brussels","belgium","ryanair"
"burgas airport (boj)","burgas","bulgaria","first choice airways"
"burgas airport (boj)","burgas","bulgaria","thomas cook airways"
"bydgoszcz ignacy jan paderewski airport (bzg)","bydgoszcz","poland","ryanair"
"carcassonne salvaza airport (ccf)","carcassonne","france","ryanair"
"city of derry airport (ldy)","derry","uk","ryanair"
"cologne bonn airport (cgn)","cologne","germany","germanwings"
"copenhagen airport (cph)","copenhagen","denmark","easyjet"
"copernicus wroclaw airport (wro)","wroclaw","poland","ryanair"
"corfu international airport (cfu)","corfu","greece","first choice airways"
"corfu international airport (cfu)","corfu","greece","thomas cook airways"
"cork airport (ork)","cork","ireland","ryanair"
"cote d'azur international airport (nce)","nice","france","easyjet"
"dalaman airport (dlm)","dalaman","turkey","excel"
"dalaman airport (dlm)","dalaman","turkey","first choice airways"
"dalaman airport (dlm)","dalaman","turkey","kibris turkish"
"dalaman airport (dlm)","dalaman","turkey","thomas cook airways"
"dalaman airport (dlm)","dalaman","turkey","thomsonfly charter"
"deauville - saint-gatien airport (dol)","deauville","france","ryanair"
"diagoras international airport (rho)","rhodes","greece","first choice airways"
"diagoras international airport (rho)","rhodes","greece","thomas cook airways"
