"Radio","Country","Language"
"RTBF","Belgium","French"
"Czech Radio","Czech Republic","Czech"
"Bulgarian National Radio","Bulgaria","Bulgarian"
"Radio France Internationale","France","French"
"AMS-NET","Germany","German English"
"Radio24-Ilsole24Ore","Italy","Italian"
"Polskie Radio SA","Poland","Polish"
"RFI Romania","Romania","Romanian"
"Radio Romania International","Romania","Romanian English German French Spanish Italian"
"Radio Slovenia International","Slovenia","Slovenian English German"
"Punto Radio Castilla y Le?n","Spain","Spanish Portuguese"
