"title","year","editors' rating","NULL","user rating"
"{|fugitive in the sky                                            actor}","1937","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|melody for two                                            actor}","1937","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|ready willing and able                                            actor}","1937","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|satan met a lady                                            actor}","1936","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|smart blonde                                            actor}","1936","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|sons o' guns                                            actor}","1936","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|the case of the velvet claws                                            actor}","1936","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|the singing kid                                            actor}","1936","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|broadway hostess                                            actor}","1935","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|front page woman                                            actor}","1935","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|gold diggers of 1935                                            actor}","1935","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|in caliente                                            actor}","1935","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|sweet adeline                                            actor}","1935","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|the case of the curious bride                                            actor}","1935","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|gift of gab                                            actor}","1934","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|million dollar ransom                                            actor}","1934","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|three on a honeymoon                                            actor}","1934","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|wake up and dream                                            actor}","1934","{NULL|NULL|NULL|NULL|NULL}","","NULL"
"{|wild gold                                            actor}","1934","{NULL|NULL|NULL|NULL|NULL}","","NULL"
