"Domain","Registrar","Create Date","Expire Date","More Information"
"0-emf.com","TUCOWS.COM CO.","2010-06-11","2012-06-11","DNS"
"0-sportsupplementshop.com","TUCOWS.COM CO.","2002-08-26","2012-08-26","DNS"
"007bass.com","TUCOWS INC.","2003-05-03","2010-05-03","DNS"
"007enterprises.com","TUCOWS.COM CO.","2010-02-04","2012-02-04","DNS"
"007incredibleoffers.net","TUCOWS INC.","2009-01-17","2010-01-17","DNS"
"00e00.com","TUCOWS.COM CO.","2006-06-22","2012-06-22","DNS"
"01523036978940237582azymop-gss-9650232022.com","TUCOWS.COM CO.","2010-04-07","2012-04-07","DNS"
"01ndclassiccars.com","WILD WEST DOMAINS INC.","2009-07-23","2012-07-23","DNS"
"01pcsolutions.com","TUCOWS.COM CO.","2010-04-19","2012-04-19","DNS"
"0243431895.com","TUCOWS INC.","2009-07-12","2010-07-12","DNS"
"0327.biz","TUCOWS.COM CO.","2010-04-26 02:44:05","2012-04-25 23:59:59","DNS"
"05356-0817.com","TUCOWS.COM CO.","2005-05-28","2012-05-28","DNS"
"06f150stx.com","TUCOWS.COM CO.","2009-04-02","2012-04-02","DNS"
"0800number.biz","TUCOWS.COM CO.","2007-10-10 16:35:29","2012-10-09 23:59:59","DNS"
"0800number.net","TUCOWS.COM CO.","2007-10-10","2012-10-10","DNS"
"0800number.org","Tucows Inc. (R11-LROR)","2007-10-10 16:35:17","2012-10-10 16:35:17","DNS"
"08757.biz","TUCOWS.COM CO.","2009-06-22 06:45:11","2012-06-21 23:59:59","DNS"
"09studio9.com","TUCOWS INC.","2010-01-09","2011-01-09","DNS"
"0aphoto.com","TUCOWS.COM CO.","2008-05-14","2011-05-14","DNS"
"0chance2fail.com","NETWORK SOLUTIONS LLC.","2005-08-05","2016-08-05","DNS"
