"&nbsp;","&nbsp;","标题","作者","回复/查看","最后发表"
"","&nbsp;","敬告助印功德施主","{admin|2011-02-26 10:08}","7 / 711","{不堕轮回|2011-11-19 21:54}"
"","&nbsp;","宝通禅寺新春祈福法会通知","{半世红楼|2011-01-19 13:38}","0 / 976","{书亚灵晧|2011-03-16 13:44}"
"","&nbsp;","{告论坛各版主书|getpagenumbers(.aspx101004531 / aspxrewrite);}","{admin|2010-07-05 15:05}","10 / 1546","{雪舫|2010-07-09 15:30}"
"","&nbsp;","原创惜分飞二  斋天地--写给小和尚","{日莲居士|2010-09-25 05:15}","3 / 515","{玉米|2010-12-27 09:56}"
"","&nbsp;","《金刚经》里的成语","{hsbtcs|2010-08-02 10:20}","1 / 555","{菩提常在|2010-08-03 09:21}"
"","&nbsp;","珍视善良","{hsbtcs|2010-07-19 08:25}","8 / 710","{菩提常在|2010-08-01 17:52}"
"","&nbsp;","原创“佛家饭”有感       getpagenumbers(.aspx101002481 / aspxrewrite);","{日莲居士|2010-06-23 15:37}","10 / 640","{日莲居士|2010-07-20 10:05}"
"","&nbsp;","“那些事儿”没啥事儿       getpagenumbers(.aspx121004221 / aspxrewrite);","{admin|2010-07-03 09:49}","12 / 930","{菩提常在|2010-07-18 21:29}"
"","&nbsp;","读书笔记(转）","{admin|2010-07-03 10:00}","7 / 731","{常随佛学|2010-07-09 20:46}"
"&nbsp;","&nbsp;","版块主题","&nbsp;","&nbsp;","&nbsp;"
"","&nbsp;","《善生经》责任和义务 将修行落到实处","{玉垒浮云|2012-01-14 08:04}","1 / 47","{岭东檀喜|2012-01-14 09:26}"
"","&nbsp;","深入经藏：《三宝歌》浅释 对佛法僧三宝的礼赞","{玉垒浮云|2012-01-14 08:02}","0 / 47","{玉垒浮云|2012-01-14 08:02}"
"","&nbsp;","埋在地下的人生哲理","{玉米|2012-01-13 09:07}","0 / 36","{玉米|2012-01-13 09:07}"
"","&nbsp;","禅的行囊","{玉垒浮云|2012-01-13 08:44}","0 / 40","{玉垒浮云|2012-01-13 08:44}"
"","&nbsp;","《慈悲三昧水忏》 悟达禅师与人面疮","{玉垒浮云|2012-01-07 09:50}","0 / 49","{玉垒浮云|2012-01-07 09:50}"
"","&nbsp;","2011年十大语文差错","{玉垒浮云|2011-12-22 14:22}","1 / 79","{岭东檀喜|2012-01-06 11:42}"
"","","有声书，佛经第一，大愿法师主讲佛经系列","{岭东檀喜|2011-12-31 15:16}","0 / 48","{岭东檀喜|2011-12-31 15:16}"
"","&nbsp;","星云大师开示：人生十问","{玉垒浮云|2011-12-29 09:20}","0 / 61","{玉垒浮云|2011-12-29 09:20}"
"","&nbsp;","一直以来伴随我的一些学习习惯","{玉垒浮云|2011-12-28 10:00}","0 / 55","{玉垒浮云|2011-12-28 10:00}"
"","&nbsp;","一句一句甜","{玉垒浮云|2011-12-21 10:25}","0 / 111","{玉垒浮云|2011-12-21 10:25}"
"","&nbsp;","诗让古人写尽了吗","{玉垒浮云|2011-12-08 08:28}","2 / 107","{岭东檀喜|2011-12-10 09:41}"
