"s. no.","name of the peaks","altitude                   in meter","himal","zone"
"01","ama dablam","6812","khumbu","sagrmatha"
"02","annapurna i","8091","annapurna","gandaki"
"03","annapurna ii","7937","anapurrna","gandaki"
"04","annapurna iii","7555","anapurrna","gandaki"
"05","annapurna iv","7525","anapurrna","gandaki"
"06","annapurna","7219","anapurrna","gandaki south"
"07","api","7132","gurans","mahakali"
"08","api west","7100","byas-rikhi","darchula"
"09","barun tse","7129","barun","koshi"
"10","baudha","6672","mansiri","gandaki"
"11","chamlang","7319","mahalangur","sagarmatha barun"
"12","cheo himal","6820","peri","gandaki"
"13","chobuje","6685","rolwaling","janakpur"
"14","cholatse","6440*","khumbu","sagarmatha"
"15","cho-oyu","8201","khumbu","sagarmatha"
"16","cho polu","6711","mahalangur","sagarmatha"
"17","churen","7371","dhaulagiri","dhaulagiri"
"18","chhukungri","5550*","khumbu","sagarmatha"
"19","drahmo","6855","kanchenjunga","mechi"
"20","dhampus","6012*","mukut","dhaulagiri"
"21","dhaulagiri i","8167","dhaulagiri","dhaulagiri"
"22","dhaulagiri ii","7751","dhaulagiri","dhaulagiri"
"23","dhaulagiri iii","7715","dhaulagiri","dhaulagiri"
"24","dhaulagiri iv","7661","dhaulagiri","dhaulagiri"
"25","dhaulagiri v","7618","dhaulagiri","dhaulagiri"
"26","dhaulagiri vi","7668","dhaulagiri","dhaulagiri"
"27","drangnag ri","6801","rolwaling","japakpur"
"28","fimkof","6697","saipal","bajhang humla"
"29","fimkof west","6645","saipal","bajhang"
"30","ganesh ii","7111","ganesh","bagmati"
"31","ganesh iii","7110","ganesh","bagmati (salasungo)"
"32","ganesh iv","7052","ganesh","bagmati pabil"
"33","ganesh v","6986","ganesh","bagmati"
"34","gangapurna","7455","annapurna","gandaki"
"35","gauri shanker","7134","rolwaling","janakpur"
"36","gimigela chuli","7350","kanchenjunga","mechi"
"37","gyajikang","7038","nemjung/peri himlal","gandaki"
"38","gokyori","5450*","khumbu","sagarmatha"
"39","himalchuli e","7893","mansiri","gandaki"
"40","himalchuli n","7371","mansiri","gandaki"
"41","himachuli west","7540","mansiri","gandaki"
"42","himlung himal","7126","peri","gandaki"
"43","hongde","6556","mukut","karnali"
"44","jagdula peak","5764","jagdula","karnali"
"45","kumbhakarna (jannu)","7710","kanchenjunga","mechi"
"46","kangbachen","7903","kanchenjunga","mechi"
"47","kagmara","5960*","kanjiroba","karnali"
"48","kande hiuchuli","6627","patrasi","karnali"
"49","kanchenjunga (main)","8586","kanchenjunga","mechi"
"50","kanchenjunga","8476","kanchenjunga","mechi"
"51","kanchenjunga (south)","8476","kanchenjunga","mechi"
"52","kang guru","6981","peri","gandaki"
"53","kangtega (kantega)","6779","khumbu","sagarmatha"
"54","kanjeralwa","6612","kanjiroba","karnali"
"55","kanijiroba (main peak)","6883","kanjiroba","karnali"
"56","khatang","6782","rolwaling","janakpur"
"57","kangtokla","6294*","kanjiroba","karnali"
"58","lamjung himal","6983","annapurna","gandaki"
"59","langsisa ri","6427*","jugal","bagmati"
"60","langtang lirung","7234","langtang","bagmati"
"61","lhotse","8516","khumbu","sagarmatha"
"62","lhotse shar","8400","khumbu","sagarmatha"
"63","lobuje west","6145*","khumbu","sagarmatha"
"64","lemgpa peak","6954","kanchenjunga","mechi"
"65","makalu i","8463","mahalangur","koshi"
"66","makalu ii (kangchugtse)","7678","mahalangur","koshi"
"67","manapathi","6380*","dhaulagiri","dhaulagiri"
"68","manaslu","8163","mansiri","gandaki"
"69","manaslu north","7157","mansiri","gandaki"
"70","nampa","6755","gurans","mahakali"
"71","ngojumbakang","7743","khumbu","sagarmatha"
"72","nilgiri central","6940","nilgiri","dhaulagiri"
"73","nilgiri north","7061","nilgiri","dhaulagiri"
"74","nilgiri south","6839","nilgiri","dhaulagiri"
"75","numbur","6957","rolwaling","sagarmatha"
"76","nuptse","7855","khumbu","sagarmatha"
"77","ngadi chuli (peak 29 dakura)","7871","mansiri","gandaki"
"78","nampa south","6580","byas-rikhi","darchula bajhang"
"79","patrasi","6450*","patrasi","karnali"
"80","pumori","7161","khumbu","sagarmatha"
"81","putha hiunchuli","7246","dhaulagiri","dhaulagiri"
"82","pathivara chuli","7125","kanchenjunga","mechi"
"83","pasang lhamu chuli (jasamba)","7351","mahalangur khumbu","sagarmatha"
"84","raksha urai","6593","urai lekh","bajhang"
"85","ramdrong","4499*","lamjung","gandaki"
"86","ramchaur","4499*","kanchenjunga","mechi"
"87","ramtang","6601","kanchenjunga","mechi"
"88","saipal","7031","gurans/saipal","mahakali"
"89","shantishikhar","7591","mahalangur khumbu","sagarmatha"
"90","shartse","7459","khumbu","sagarmatha"
"91","sisne","5849*","sisne","karnali"
"92","sita chuchura","6611","dhaulagiri","dhaulagiri"
"93","saipal east","6882","saipal","bajhang"
"94","surma-sarivar north","6523","surma sarovar lekh","bajhang"
"95","sagarmatha","8848","khumbu","sagarmatha"
"96","shey shikar","6139*","kanjiroba","karnali"
"97","tawoche","6501","khumbu","sagarmatha"
"98","thamserku","6230*","khumbu","sagarmatha"
"99","tilicho peak","7134","annapurna","gandaki"
"100","tukuche peak","6920","dhaulagiri","dhaulagiri"
"101","tripura hiunchuli (hanging glacier peak)","6563","kanjiroba","karnali"
"102","tso jarpo","6518","kanjiroba","dolpa"
"103","tarke kang","7193","annapurna","gandaki"
"104","tengkoma","6215*","kanchenjunga","mechi"
"105","varaha shikar(fang)","7647","annapurna","dhaulagiri"
"106","yalung kang","8505","kanchenjunga","mechi"
"107","yala","5732*","langtang","bagmati"
