"Trade name","Active ingredients","Pharmaceutical company"
"Farcolin","Albuterol","Unidentified Pharmaceutical Company"
"Fardalan","Sulpiride","Unidentified Pharmaceutical Company"
"Farectil","Suloctidil","Unidentified Pharmaceutical Company"
"Farinex MJ","Icodextrin","Unidentified Pharmaceutical Company"
"Farlutin","Medroxyprogesterone","Unidentified Pharmaceutical Company"
"Farmco Diuron","Diuron","Unidentified Pharmaceutical Company"
"Farmco Propanil","Propanil","Unidentified Pharmaceutical Company"
"Farmitcetina","Chloramphenicol","Unidentified Pharmaceutical Company"
"Farmizina","Pyrazinamide","Unidentified Pharmaceutical Company"
"Farmolisina","Metamizole","Unidentified Pharmaceutical Company"
