"1","","Skillet","","LFM.Page.Tracker.storeResourceTypeForURL(/music/Skillet Artist);","2889"
"2","","Switchfoot","","LFM.Page.Tracker.storeResourceTypeForURL(/music/Switchfoot Artist);","2878"
"3","","Relient K","","LFM.Page.Tracker.storeResourceTypeForURL(/music/Relient+K Artist);","2511"
"4","&nbsp;","Rooster Teeth Staff","","LFM.Page.Tracker.storeResourceTypeForURL(/music/Rooster+Teeth+Staff Artist);","2180"
"5","","Anberlin","","LFM.Page.Tracker.storeResourceTypeForURL(/music/Anberlin Artist);","1983"
"6","","Breaking Benjamin","","LFM.Page.Tracker.storeResourceTypeForURL(/music/Breaking+Benjamin Artist);","1558"
"7","&nbsp;","All Star United","","LFM.Page.Tracker.storeResourceTypeForURL(/music/All+Star+United Artist);","1487"
"8","","Five Iron Frenzy","","LFM.Page.Tracker.storeResourceTypeForURL(/music/Five+Iron+Frenzy Artist);","1459"
"9","","R.E.M.","","LFM.Page.Tracker.storeResourceTypeForURL(/music/R.E.M. Artist);","1398"
"10","","Everyday Sunday","","LFM.Page.Tracker.storeResourceTypeForURL(/music/Everyday+Sunday Artist);","1366"
"11","","Hawk Nelson","","LFM.Page.Tracker.storeResourceTypeForURL(/music/Hawk+Nelson Artist);","1292"
"12","","MxPx","","LFM.Page.Tracker.storeResourceTypeForURL(/music/MxPx Artist);","1232"
"13","","The Killers","","LFM.Page.Tracker.storeResourceTypeForURL(/music/The+Killers Artist);","1225"
"14","","Thousand Foot Krutch","","LFM.Page.Tracker.storeResourceTypeForURL(/music/Thousand+Foot+Krutch Artist);","1190"
"15","","Green Day","","LFM.Page.Tracker.storeResourceTypeForURL(/music/Green+Day Artist);","1086"
