"country","face","unit","year","type","grade","exchange","value","cost","worth","source","comments"
"afghanistan","1","afghani","1318=1939","note","NULL","0.0002105&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$1.37","$1.37","ebay: collectiblesrus","arch"
"afghanistan","2","afghani","1318=1939","note","NULL","0.0002105&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$1.36","$1.36","ebay: collectiblesrus","domed buildings"
"afghanistan","50","afghani","NULL","note","NULL","0.0002105&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$0.00","$0.01","ebay: david steinberg","cylindrical building"
"afghanistan","100","afghani","NULL","note","NULL","0.0002105&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","ebay: david steinberg","$0.02","$0.00","$0.02","thresher dam"
"afghanistan","500","afghani","NULL","note","NULL","0.0002105&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","ebay: david steinberg","$0.11","$0.00","$0.11","horseriders fort"
"afghanistan","1000","afghani","NULL","note","NULL","0.0002105&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","ebay: david steinberg","$0.21","$0.00","$0.21","domes arch"
"albania","1","lek","1964","coin","NULL","0.006676&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$0.83","$0.83","ebay: mark camp"
"albania","10","lek","1976","note","NULL","0.006676&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.07","$0.22","$0.22","ebay: michael cartz","loom worker"
"albania","50","lek","1996","coin","NULL","0.006676&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.33","$0.00","$0.33","cong-duc pham"
"algeria","5","franc","NULL","note","NULL","0.0137287&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.07","$0.50","$0.50","charlottesville coin store","veiled woman"
