"ordem","edifício","cidade","país","altura","altura","andares","anoinaug."
"1","burj khalifa","dubai","emirados árabes unidos","818&#160;m","2684&#160;pés","160","2010[b]"
"2","taipei 101","taipei","taiwan","509&#160;m","1671&#160;pés","101","2004"
"3","shanghai world financial center","xangai","&#160;china","492&#160;m","1614&#160;pés","101","2008"
"4","international commerce centre","hong kong","&#160;hong kong","483&#160;m","1584&#160;pés","118","2009[b]"
"5=","petronas tower 1","kuala lumpur","&#160;malásia","452&#160;m","1483&#160;pés","88","1998"
"5=","petronas tower 2","kuala lumpur","&#160;malásia","452&#160;m","1483&#160;pés","88","1998"
"7","nanjing greenland financial center","nanjing","&#160;china","450&#160;m","1476&#160;pés","89","2009[c]"
"8","willis tower","chicago","&#160;estados unidos","442&#160;m","1451&#160;pés","108","1973"
"9","guangzhou west tower","guangzhou","&#160;china","440&#160;m","1444&#160;pés","103","2009[b]"
"10","jin mao tower","xangai","&#160;china","421&#160;m","1380&#160;pés","88","1998"
"11","two international finance centre","hong kong","&#160;hong kong","416&#160;m","1362&#160;pés","88","2003"
"12","trump international hotel and tower","chicago","&#160;estados unidos","415&#160;m","1362&#160;pés","96","2009[b]"
"13","citic plaza","guangzhou","&#160;china","391&#160;m","1283&#160;pés","80","1997"
"14","shun hing square","shenzhen","&#160;china","384&#160;m","1260&#160;pés","69","1996"
"15","empire state building","nova iorque","&#160;estados unidos","381&#160;m","1250&#160;pés","102","1931"
"16","central plaza","hong kong","&#160;hong kong","374&#160;m","1227&#160;pés","78","1992"
"17","bank of china tower","hong kong","&#160;hong kong","367&#160;m","1205&#160;pés","72","1990"
"18","bank of america tower","nova iorque","&#160;estados unidos","366&#160;m","1200&#160;pés","54","2008"
"19","almas tower","dubai","emirados árabes unidos","363&#160;m","1191&#160;pés","68","2009"
"20","emirates office tower","dubai","emirados árabes unidos","355&#160;m","1163&#160;pés","54","2000"
"21","tuntex sky tower","kaohsiung","taiwan","348&#160;m","1140&#160;pés","85","1997"
"22","aon center","chicago","&#160;estados unidos","346&#160;m","1136&#160;pés","83","1973"
"23","the center","hong kong","&#160;hong kong","346&#160;m","1135&#160;pés","73","1998"
"24","john hancock center","chicago","&#160;estados unidos","344&#160;m","1127&#160;pés","100","1969"
"25=","wenzhou world trade center","wenzhou","&#160;china","333&#160;m","1093&#160;pés","72","2009[b]"
"25=","rose tower","dubai","emirados árabes unidos","333&#160;m","1093&#160;pés","72","2007"
"25=","shanghai shimao international plaza","xangai","&#160;china","333&#160;m","1093&#160;pés","60","2006"
"28","minsheng bank building","wuhan","&#160;china","331&#160;m","1087&#160;pés","68","2007"
"29=","ryugyong hotel","pyongyang","coreia do norte","330&#160;m","1083&#160;pés","105","2012[d]"
"29=","china world trade center tower 3","pequim","&#160;china","330&#160;m","1083&#160;pés","74","2008"
"31","the index","dubai","emirados árabes unidos","328&#160;m","1076&#160;pés","80","2009[c]"
"32","q1","gold coast","&#160;austrália","323&#160;m","1058&#160;pés","78","2005"
"33","burj al arab","dubai","emirados árabes unidos","321&#160;m","1053&#160;pés","60","1999"
"34=","chrysler building","nova iorque","&#160;estados unidos","319&#160;m","1046&#160;pés","77","1930"
"34=","nina tower","tsuen wan","&#160;hong kong","319&#160;m","1046&#160;pés","80","2007"
"34=","new york times building","nova iorque","&#160;estados unidos","319&#160;m","1046&#160;pés","52","2007"
"37","hhhr tower","dubai","emirados árabes unidos","317&#160;m","1040&#160;pés","72","2009"
"38","bank of america plaza","atlanta","&#160;estados unidos","312&#160;m","1023&#160;pés","55","1992"
"39","sky tower","abu dhabi","emirados árabes unidos","310&#160;m","1018&#160;pés","74","2009[b]"
"39","us bank tower","los angeles","&#160;estados unidos","310&#160;m","1018&#160;pés","73","1989"
"41=","ocean heights","abu dhabi","emirados árabes unidos","310&#160;m","1017&#160;pés","84","2009[b]"
"41=","menara telekom","kuala lumpur","&#160;malásia","310&#160;m","1017&#160;pés","55","2001"
"43","jumeirah emirates towers hotel","dubai","emirados árabes unidos","309&#160;m","1014&#160;pés","56","2000"
"44","one island east","hong kong","&#160;hong kong","308&#160;m","1011&#160;pés","70","2008"
"45","at&amp;t corporate center","chicago","&#160;estados unidos","307&#160;m","1007&#160;pés","60","1989"
"46","the address downtown burj dubai","dubai","emirados árabes unidos","306&#160;m","1004&#160;pés","63","2008"
"47","jpmorgan chase tower","houston","&#160;estados unidos","305&#160;m","1002&#160;pés","75","1982"
"48","northeast asia trade tower","incheon","{&#160;|south korea}","305&#160;m","1001&#160;pés","70","2010[b]"
"49","baiyoke tower ii","bangkok","&#160;tailândia","304&#160;m","997&#160;pés","85","1997"
"50","two prudential plaza","chicago","&#160;estados unidos","303&#160;m","995&#160;pés","64","1990"
