"#","media","mix"
"1","dainik jagran","15.400"
"2","dainik bhaskar","14.000"
"3","cnn editions (international)","14.000"
"4","cnn","12.000"
"5","ndtv","10.000"
"6","times of india","4.800"
"7","globo","4.500"
"8","dailymail","4.500"
"9","malayala manorama","4.000"
"10","dinamalar","3.500"
"11","wall street journal usa","3.400"
"12","foxnews","3.300"
"13","new york times","3.250"
"14","gujarat samachar","3.000"
"15","telecinco","2.800"
"16","ibn live","2.800"
"17","usa today","2.525"
"18","the sun","2.500"
"19","joong ang ilbo","2.250"
"20","aarp bulletin","2.160"
"&nbsp;","more media >>","&nbsp;"
