"Country","Language","Hotline","Day","Hour"
"Bahrain","??????? English","8000-45-22; 8000-4059toll-free","Sun - Thur","9:00 -21:00"
"Egypt","??????? English","+20-238-272-820","Sun - Thur","9:00 -21:00"
"Israel","Hebrew English Arabic","Toll Free: 1809 216363Geo: 03-912-1847","Mon - Fri","9:00 - 17:00 (Mon - Fri)"
"Jordan","??????? English","+800 22081","Sun - Thur","9:00 -21:00"
"Kenya","English","0800 750 009  Toll free number. Accessibility from mobile networks may vary. Please check with your mobile network.","Mon - Sat","9:00-21:00 (Mon - Fri)  9:00-13:00 (Sat)"
"Kenya","English","+44 207 458 44 11International number","Mon - Sat","9:00-21:00 (Mon - Fri) 9:00-13:00 (Sat)"
"Kuwait","Arabic English","+20-238-272-843","Sun - Thur","9:00 -21:00"
"Morocco","Fran&ccedil;ais","082-003-015toll-free","Mon - Fri","9:00 -21:00"
"Nigeria","English","+44 207 458 44 10International number","Mon - Sat","9:00-21:00 (Mon-Fri) 9:00-13:00 (Sat)"
"Oman","??????? English","800-753-00","Sun - Thur","9:00 -21:00"
"Qatar","??????? English","+20-238-272-843","Sun - Thur","9:00 -21:00"
"Saudi Arabia","??????? English","800-844-6362; 800-820-0079toll-free","Sat - Wed","9:00 -21:00"
"South Africa","English","0800-982773toll-free","Mon - Fri  Sat","9:00 -21:00 (Mon-Fri) 9:00 -13:00 (Sat)"
"UAE","??????? English","8000-440-309; 8000-200-0078toll-free","Sun - Thur","9:00 -21:00"
