"waterbody id","resource name","alt. names","type"
"160674","ada lake","NULL","lake"
"160182","agnes lake","NULL","lake"
"2","alafia river - north prong","NULL","stream"
"3","alafia river - south prong","NULL","stream"
"3","alafia river watershed","NULL","watershed"
"161932","alamo lake","NULL","lake"
"160394","alfred lake","NULL","lake"
"161072","alta lake","NULL","lake"
"161193","altamaha lake","NULL","lake"
"161933","altamaha lake","NULL","lake"
"161310","amoret lake","NULL","lake"
"161934","andrea lake","NULL","lake"
"160611","anglers lake","sunshine lake","lake"
"161162","ann lake","NULL","lake"
"160723","annie lake","NULL","lake"
"181950","arbuckle creek","NULL","stream"
"161738","arbuckle lake","NULL","lake"
"160450","ariana lake","NULL","lake"
"160390","arietta lake","lighterlog","lake"
"160624","arrowhead lake","NULL","lake"
"160878","ashton lake","lake myrtle","lake"
"161214","aurora lake","NULL","lake"
"160185","avenue pond","NULL","lake"
"161935","azalea lake","NULL","lake"
"160778","banana lake","NULL","lake"
"160780","banana north pit","lake stahl","lake"
"160794","banana south pit","little banana lake highland hill lake","lake"
"181983","banana-hancock canal","NULL","stream"
"160251","bay lake","NULL","lake"
"161230","belle east lake","NULL","lake"
"161232","belle lake","lake belle west","lake"
"160655","bentley lake","NULL","lake"
"161922","bess lake","NULL","lake"
"160581","beulah lake","NULL","lake"
"160929","big gum lake","NULL","lake"
"161937","big lake","NULL","lake"
"181951","bird branch","NULL","stream"
"161926","biscuit lake","NULL","lake"
"161945","black water lake","NULL","lake"
"12","blackwater creek","NULL","stream"
"160576","blanton lake","NULL","lake"
"161339","blue lake (highland park)","big blue little blue","lake"
"161946","blue lake (lakeland)","NULL","lake"
"160543","blue lake (winter haven)","blue 2","lake"
"181981","boggy branch","NULL","stream"
"181952","boggy branch (east of bartow)","NULL","stream"
"160246","bonnet lake (n of lake alfred)","lake ellen","lake"
"160542","bonnet lake (lakeland)","NULL","lake"
"161029","bonnie lake","NULL","lake"
"161136","bonny lake (mulberry)","NULL","lake"
"160565","bonny lake (lakeland)","NULL","lake"
"161947","boomerang lake","NULL","lake"
"181953","bowlegs creek","NULL","stream"
"161911","bowles lake","NULL","lake"
"161948","brooks lake","NULL","lake"
"160352","brown lake","NULL","lake"
"161102","brush lake","NULL","lake"
"160570","buckeye lake","NULL","lake"
"161497","buffum lake","NULL","lake"
"160564","burbank lake","sarden lake","lake"
"160455","butler lake","NULL","lake"
"160225","cameron lake","NULL","lake"
"160340","camp lake","NULL","lake"
"160569","cannon lake","NULL","lake"
"160742","canyon lake","NULL","lake"
"181954","catfish creek","NULL","stream"
"161940","center lake","NULL","lake"
"160563","charles lake","NULL","lake"
"181990","charlie creek","NULL","stream"
"160883","christina pit","christina lake","lake"
"161992","church lake","NULL","lake"
"160552","citrus lake","NULL","lake"
"160905","clark lake","NULL","lake"
"161949","clark lake","NULL","lake"
"160188","clearwater lake","NULL","lake"
"161642","clinch lake","NULL","lake"
"181956","colt creek","NULL","stream"
"160588","complex lake","NULL","lake"
"160391","confusion lake","NULL","lake"
"160512","conine lake","lake connie","lake"
"161097","cooper lake","lake worth","lake"
"161912","country oaks lake","county oaks country oak lake","lake"
"160526","cowpen bay","NULL","lake"
"160427","crago lake","NULL","lake"
"160903","crescent lake","NULL","lake"
"160904","crews lake","NULL","lake"
"161568","crooked lake","NULL","lake"
"182006","crooked-clinch canal","NULL","stream"
"161290","crystal lake","NULL","lake"
"160228","crystal lake (davenport)","NULL","lake"
"160583","crystal lake (dundee)","NULL","lake"
"161114","crystal lake (lake wales)","NULL","lake"
"160629","crystal lake (lakeland)","NULL","lake"
"160880","crystal lake (s of winter haven)","cunningham","lake"
"181957","cumbee drain","NULL","stream"
"160453","cummings lake","NULL","lake"
"161008","cypress lake","NULL","lake"
"160413","cypress lake (osceola)","NULL","lake"
"160720","daisy lake","NULL","lake"
"161950","dance lake","NULL","lake"
"160005","davenport lake (davenport)","lake north davenport","lake"
"160233","davenport lake (davenport)","NULL","lake"
"161951","david lake","NULL","lake"
"160810","david lake (lakeland)","NULL","lake"
"161895","david lake (s of frostproof)","NULL","lake"
"182008","dead river","NULL","stream"
"160561","deer lake (poinciana)","NULL","lake"
"161959","deer run pond","NULL","lake"
"160628","deer lake (winter haven)","NULL","lake"
"160380","deeson lake","NULL","lake"
"160634","dell lake","NULL","lake"
