"SATSUKI NAME:","HAKONE NO KAGAYAKI","&nbsp;","&nbsp;","&nbsp;"
"PARENTAGE:&nbsp;","SHIRAUME x IRODORI&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"GROUP OF COLOR:","WHITE&amp;RED-MIX","&nbsp;","&nbsp;","&nbsp;"
"SIZE OF SATSUKI FLOWER:","SMALL","&nbsp;","&nbsp;","fs"
"SHAPE OF SATSUKI FLOWER:","NULL","NULL","&nbsp;","&nbsp;"
"PATTERN OF SATSUKI FLOWER:","DAISHO SHIBORI fpDAIS","HANZOME fpHANS","FUKURIN fpFUKUS","SOKOJIRO fpSOKS"
"SIZE OF LEAVES:&nbsp;","SMALL","&nbsp;","&nbsp;","ls"
"PATTERN OF LEAVES:","SHINY&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"STRONG-WEAK:","STRONG","&nbsp;","&nbsp;","&nbsp;"
"KEY POINTS OF BONSAI STYLE:","FLOWER","&nbsp;","&nbsp;","&nbsp;"
"VOLUME OF PRODUCTION","FEW","&nbsp;","&nbsp;","&nbsp;"
