"1.","nabi muhammad saw","51.","umar bin khatab"
"2.","isaac newton","52.","asoka"
"3.","nabi isa","53.","sam augustine"
"4.","buddha","54.","max planck"
"5.","confucius","55.","john calvin"
"6.","saint paul","56.","william morton"
"7.","thai lun","57.","william harvey"
"8.","johan gutemberg","58.","antoine becquerel"
"9.","christopher columbus","59.","greger mendel"
"10.","albert einstein","60.","joseph lister"
"11.","karl marx","61.","nicholas august otto"
"12.","louis pasteur","62.","louis daguerre"
"13.","galileo galilei","63.","joseph stalin"
"14.","aristoteles","64.","rene descartes"
"15.","v.i. lenin","65.","julius caesar"
"16.","nabi musa","66.","francisco pizarro"
"17.","charles darwin","67.","hernando cortes"
"18.","chin huang ti","68.","ratu isabella i"
"19.","agustus caesar","69.","william the congqueror"
"20.","mao tse-tung","70.","thomas jefferson"
"21.","genghis khan","71.","jean jacques rousseau"
"22.","euclid","72.","edward jenner"
"23.","martin luther","73.","wilhelm rontgen"
"24.","nicolas copernicus","74.","johan sebastian bach"
"25.","james watt","75.","lau-tzu"
"26.","constantine the great","76.","enrico ferni"
"27.","george washington","77.","thomas maltus"
"28.","michael faraday","78.","francis bacon"
"29.","james clerk maxwell","79.","voltaire"
"30.","orville dan wilbur wright","80.","john f. kennedy"
"31.","antoine laurent lavoisier","81.","gregory pincus"
"32.","sigmund freud","82.","sui wen ti"
"33.","lskandar zulkarnaen","83.","mani (manes)"
"34.","napoleon bonaparte","84.","vasco da gama"
"35.","adolf hitler","85.","charlemagne"
"36.","william shakespeare","86.","cyrys the great"
"37.","adam smith","87.","leonard euler"
"38.","thomas edison","88.","nicollo machiavelli"
"39.","anton van leuwenhoek","89.","zoroaster"
"40.","plato","90.","menes"
"41.","gugleilmo marconi","91.","peter the great"
"42.","ludwig van beethoven","92.","mencius"
"43","werner heisenberg","93.","john dalton"
"44.","alexander g bell","94.","homer"
"45.","alexander fleming","95.","ratu elizabeth i"
"46.","simon bolivar","96.","justinian i"
"47.","oliver cromwell","97.","johannes kepler"
"48.","john locke","98.","pablo picasso"
"49.","michelangelo","99.","mahavira"
"50.","pans urban ii","100.","niels bohr"
