"Date","Opponent","Result"
"{11/22|3:00 PM5:00 PM}","{O'Connor (Phoenix AZ) *|Details: PV Invite @ Pinnacle High School|Preview GameBox Score}","70 - 44Win"
"{11/23|4:30 PM6:30 PM}","{Bradshaw Mountain (Prescott Valley AZ)|Details: PV Invite @ Pinnacle High School|Preview GameBox Score}","69 - 55Win"
"{11/25|3:00 PM5:00 PM}","{Arcadia (Phoenix AZ)|Details: PV Invite @ Paradise Valley High School|Preview GameBox Score}","53 - 50Loss"
"{11/26|TBA|2 hour event}","{Pinnacle (Phoenix AZ) **|Details: PV Invite @ Paradise Valley High School|Preview GameBox Score}","74 - 60Loss"
"{11/29|7:00 PM9:00 PM}","{Westwood (Mesa AZ) *|Preview GameBox Score}","50 - 39Win"
"{12/01|7:00 PM9:00 PM}","{@ McClintock (Tempe AZ) *|Preview GameBox Score}","76 - 47Win"
"{12/02|7:00 PM9:00 PM}","{@ Chaparral (Scottsdale AZ) *|Preview GameBox Score}","64 - 57Loss"
"{12/06|7:00 PM9:00 PM}","{Mountain View (Mesa AZ) *|Preview GameBox Score}","59 - 54Loss"
"{12/09|7:00 PM9:00 PM}","{Horizon (Scottsdale AZ) *|Preview GameBox Score}","67 - 59Win"
"{12/27|4:30 PM6:30 PM}","{Desert Edge (Goodyear AZ) **|Details: Holiday Hoops Fest @ Boulder Creek HS|Preview GameBox Score}","56 - 53Win"
"{12/28|5:30 PM7:30 PM}","{Gilbert (Gilbert AZ) **|Details: Holiday Hoops Fest @ Boulder Creek HS|Preview GameBox Score}","47 - 41Win"
"{12/29|7:00 PM9:00 PM}","{Harlan (Chicago IL) **|Details: Holiday Hoops Fest @ Boulder Creek HS|Preview GameBox Score}","42 - 39Win"
"{01/05|TBA|2 hour event}","{@ Pinnacle (Phoenix AZ) *|Preview GameBox Score}","68 - 58Win"
"{01/06|TBA|2 hour event}","{North Canyon (Phoenix AZ) *|Preview GameBox Score}","64 - 27Win"
"{01/10|TBA|2 hour event}","{Mesa (Mesa AZ) *|Preview GameBox Score}","65 - 42Win"
"{01/11|TBA|2 hour event}","{@ North Canyon (Phoenix AZ) *|Preview GameBox ScoreQwixcore Game Log}","55 - 46Win"
"{01/13|TBA|2 hour event}","{@ Saguaro (Scottsdale AZ)|Preview GameBox Score}","62 - 55Loss"
"{01/16|2:30 PM4:30 PM}","{Westwood (Mesa AZ) *|Details: MLK Basketball Classic @ Wells Fargo Arena (ASU)|Preview GameBox Score}","60 - 47Win"
"{01/18|TBA|2 hour event}","{@ Mountain View (Mesa AZ) *|Preview GameBox Score}","73 - 67Loss"
"{01/20|TBA|2 hour event}","{Maryvale (Phoenix AZ)|Preview GameBox Score}","68 - 28Win"
"{01/24|TBA|2 hour event}","{Chaparral (Scottsdale AZ) *|Preview GameBox Score}","60 - 46Win"
"{01/27|7:00 PM9:00 PM}","{@ Horizon (Scottsdale AZ) *|Preview GameBox Score}","73 - 72Loss"
"{01/31|TBA|2 hour event}","{McClintock (Tempe AZ) *|Preview GameBox Score}","84 - 49Win"
"{02/02|TBA|2 hour event}","{@ Hayden (Phoenix AZ)|Preview GameBox Score}","62 - 34Win"
"{02/03|TBA|2 hour event}","{Pinnacle (Phoenix AZ) *|Preview GameBox Score}","59 - 48Loss"
