"species name","tropical","not tropical","comments"
"acacia acuminata","n/a","x","n/a"
"acacia adansonii","n/a","x","n/a"
"acacia aneura","n/a","x","n/a"
"acacia angico","n/a","x","n/a"
"acacia arabica","n/a","x","n/a"
"acacia bahamensis","n/a","x","n/a"
"acacia benthamii","n/a","x","n/a"
"acacia burkitii","n/a","x","n/a"
"acacia cambagei","n/a","x","n/a"
"acacia cebil","n/a","x","n/a"
"acacia coriacea","n/a","x","n/a"
"acacia daintreeana","n/a","x","n/a"
"acacia excelsa","n/a","x","n/a"
"acacia flava","x","n/a","n/a"
"acacia guachapele","x","n/a","n/a"
"acacia harpophylla","n/a","x","n/a"
"{acacia heterophylla|var.|latifolia}","n/a","x","n/a"
"acacia homalophylla","n/a","x","n/a"
"acacia kauaiensis","n/a","x","n/a"
"acacia koa","n/a","x","n/a"
"acacia latisiliqua","n/a","x","n/a"
"acacia lebbeck","n/a","x","n/a"
"acacia leucophylla","n/a","x","n/a"
"acacia macrophylla","n/a","x","n/a"
"acacia mangium","x","n/a","n/a"
"acacia melanoxylon","n/a","x","n/a"
"acacia microsperma","n/a","x","n/a"
"acacia nilotica","n/a","x","n/a"
"acacia omalophylla","n/a","x","n/a"
"acacia papyrocarpa","n/a","x","n/a"
"acacia pendula","n/a","x","n/a"
"acacia psilostachya","x","n/a","n/a"
"acacia salicina","n/a","x","n/a"
"acacia salix-tristis","n/a","x","n/a"
"acacia scorpioides","n/a","x","n/a"
"acacia sericophylla","n/a","x","n/a"
"acacia shirleyi","n/a","x","n/a"
"acacia sowdenii","n/a","x","n/a"
"acacia subalata","n/a","x","n/a"
"acacia tephrina","n/a","x","n/a"
"acacia varians","n/a","x","n/a"
"acacia vera","n/a","x","n/a"
"acacia xiphophylla","n/a","x","n/a"
"achantia altissima","x","n/a","n/a"
"achradelpha mammosa","n/a","x","n/a"
"achras mammosa","n/a","x","n/a"
"achras zapota","n/a","x","n/a"
"achras zapotilla","n/a","x","n/a"
"&#167; acinodendrontrichotomum","x","n/a","n/a"
"ackama australiensis","x","n/a","n/a"
"acosmium panamense","x","n/a","n/a"
"actinostrobus acuminatus","n/a","x","n/a"
"actinostrobus arenarius","n/a","x","n/a"
"actinostrobus pyramidalis","n/a","x","n/a"
"aextoxicon punctatum","n/a","x","n/a"
"afzelia attenuata","n/a","x","n/a"
"afzelia quanzensis","n/a","x","n/a"
"agathis australis","n/a","x","n/a"
"agathis borneensis","x","n/a","n/a"
"agathis macrophylla","x","n/a","n/a"
"agathis microstachya","x","n/a","n/a"
"agathis vitensis","x","n/a","n/a"
"albizia coriaria","x","n/a","n/a"
"albizia guachapele","x","n/a","n/a"
"albizia lebbeck","n/a","x","n/a"
"albizia longipedata","x","n/a","n/a"
"albizzia procera","n/a","x","n/a"
"alectryon oleifolius","n/a","x","n/a"
"alexa imperatricis","x","n/a","n/a"
"alexandra imperatricis","x","n/a","n/a"
"allocasuarina decussata","n/a","x","n/a"
"allocasuarina fraseriana","n/a","x","n/a"
"alsodeia paniculata","x","n/a","n/a"
"alstonia boonei","x","n/a","n/a"
"alstonia congensis","x","n/a","n/a"
"alstonia costulata","x","n/a","n/a"
"alstonia polyphylla","x","n/a","n/a"
"&#167; amanoacaribaea","x","n/a","n/a"
"amapa guianensis","x","n/a","n/a"
"amburana cearensis","x","n/a","n/a"
"amburana claudii","x","n/a","n/a"
"amerimnon latifolium","x","n/a","n/a"
"amerimnon pinnatum","x","n/a","n/a"
"amphimas pterocarpoides","x","n/a","n/a"
"anadenanthera colubrina","n/a","x","n/a"
"{anadenanthera colubrina|var.|cebil}","n/a","x","n/a"
"anadenanthera macrocarpa","n/a","x","n/a"
"andira amazonum","x","n/a","n/a"
"andira bracteosa","x","n/a","n/a"
"androstachys johnsonii","x","n/a","n/a"
"{aningueria|spp.}","x","n/a","n/a"
"{anisoptera|spp.}","x","n/a","n/a"
"anopyxis klaineana","x","n/a","n/a"
"anthonotha fragrans","x","n/a","n/a"
"antiaris africana","x","n/a","n/a"
"apeiba aspera","x","n/a","n/a"
"aphanocalyx heitzii","x","n/a","n/a"
"apuleia leiocarpa","n/a","x","n/a"
"araucaria heterophylla","n/a","x","n/a"
"aristoclesia esculenta","x","n/a","n/a"
"aspalathus ebenus","x","n/a","n/a"
"aspidosperma curranii","x","n/a","n/a"
"aspidosperma excelsum","x","n/a","n/a"
"aspidosperma peroba","n/a","x","n/a"
"aspidosperma polyneuron","n/a","x","n/a"
"aspidosperma quebracho","n/a","x","n/a"
"aspidosperma sandwithianum","x","n/a","n/a"
"aspidosperma tomentosum","n/a","x","n/a"
"astronium fraxinifolium","n/a","x","n/a"
"astronium gracile","n/a","x","n/a"
"astronium graveolens","x","n/a","n/a"
"astronium lecointei","x","n/a","n/a"
"astronium macrocalyx","x","n/a","n/a"
"atalaya hemiglauca","n/a","x","n/a"
"aucoumea klaineana","x","n/a","n/a"
"austrocedrus chilensis","n/a","x","n/a"
"autranella congolensis","x","n/a","n/a"
"aydendron cannella","x","n/a","n/a"
"bagassa guianensis","x","n/a","n/a"
"bagassa tiliaefolia","x","n/a","n/a"
"baikiaea plurijuga","x","n/a","n/a"
"baillonella heckelii","x","n/a","n/a"
"baillonella toxisperma","x","n/a","n/a"
"balfourodendron riedelianum","n/a","x","n/a"
"banksia grandis","n/a","x","n/a"
"banksia seminuda","n/a","x","n/a"
"bassia djave","x","n/a","n/a"
"belis lanceolata","n/a","x","n/a"
"berchemia zeyheri","n/a","x","n/a"
"berlinia acuminata","x","n/a","n/a"
"berlinia confusa","x","n/a","n/a"
"berlinia ledermannii","x","n/a","n/a"
"bertholletia excelsa","x","n/a","n/a"
"betchea australiensis","x","n/a","n/a"
"bignonia heptaphylla","n/a","x","n/a"
