"Name","Country","Sales (US $mil)","Net Income (US $mil)","Market Value (US $mil)","Industry"
"AAC Acoustic Technologies","China/HK","327","86","1065","Moe device parts"
"ABC-Mart","Japan","995","113","2338","Athletic footwear"
"Aces Electronic","Taiwan","118","20","339","Electronic connectors"
"AgFeed Industries","China/HK","146","17","207","Animal feed"
"AIA Engineering","India","201","34","500","Industrial equipment"
"Alibaba.com","China/HK","440","177","12093","Business-to-business Web site"
"Allied Digital Services","India","74","11","164","IT outsourcing"
"Ammtec","Australia","45","5","72","Mining services"
"Anhui Huaxing Chemical Industry","China/HK","202","27","399","Fertilizer pesticides"
"Anhui Tianda Oil Pipe","China/HK","386","44","277","Steel pipes"
"Anta Sports Products","China/HK","678","132","3509","Sports apparel"
"Asahi","Japan","221","15","461","Bicycle shop chain"
"ASG","Australia","102","9","96","IT consulting"
"Asian Citrus","China/HK","78","58","319","Orange farming"
"ASX","Australia","428","254","4929","Stock exchange"
"AurionPro Solutions","India","54","8","61","Computer software"
"Austal","Australia","565","50","424","Ship building"
"Axell","Japan","156","38","487","Gaming machine parts"
"Baidu","China/HK","462","151","11754","Web advertising"
"Bang Overseas","India","36","3","19","Textiles"
"Bangkok Chain Hospital","Thailand","121","17","232","Hospital operations"
"BEC World","Thailand","253","83","1117","Broadcast entertainment"
"Beijing Shiji Information Technology","China/HK","65","23","994","Hotel software"
"Beijing SL Pharmaceutical","China/HK","49","32","1281","Drugs health foods"
"Biocon","India","317","47","875","Biotech research"
