"Rank","Name","Country","Industry","Sales ($bil)","Profits ($bil)","Assets ($bil)","Market Value ($bil)"
"372","PTT Public Company","Thailand","Oil & gas operations","16.58","1.61","12.49","17.86"
"833","Siam Cement","Thailand","Construction","4.95","0.94","6.63","7.42"
"1338","Advanced Info Service","Thailand","Telecommunications services","2.48","0.52","3.12","7.12"
"946","Bangkok Bank","Thailand","Banking","1.72","0.45","36.20","5.70"
"1418","Thai Petrochemical Ind","Thailand","Chemicals","3.97","0.32","3.77","4.36"
"1153","Kasikornbank","Thailand","Banking","1.19","0.34","20.38","4.07"
"1215","Krung-Thai Bank","Thailand","Banking","1.39","0.29","29.55","3.51"
"1330","Thai Oil","Thailand","Oil & gas operations","6.06","0.46","3.03","3.15"
"1211","Siam Commercial Bank","Thailand","Banking","1.24","0.48","19.67","3.12"
"1865","Thai Airways Intl","Thailand","Transportation","3.96","0.17","5.54","1.84"
"1818","TMB Bank","Thailand","Banking","0.57","0.02","17.24","1.61"
"1861","Siam City Bank","Thailand","Banking","0.54","0.16","12.15","1.39"
"1889","Bank of Ayudhya","Thailand","Banking","0.66","0.12","14.80","1.31"
