"Date","Course","Location","Language"
"May 16-18 2012","Three-Day Internal Auditor Course","Dominican Republic","Spanish"
"May 17 2012","Monitor Refresher Course","Washington D.C. U.S.A.","English"
"May 22 2012","Monitor Refresher Course","Indonesia","English"
"May 24-26 2012","Three-Day Internal Auditor Course","Bangladesh","English"
"May 26. 2012","Monitor Refresher Course","Cairo Egypt","English"
"May 27- 31 2012","Five-Day Lead Auditor Course","Cairo Egypt","English"
"May 29 2012","Fire Safety Awareness Training","Bangladesh","Bengali"
"June 11-15 2012","Five-Day Lead Auditor Course","Cape Town South Africa","English"
"June 12-14 2012","Three-Day Internal Auditor Course","Toronto Canada","English"
"June 30 2012","Fire Safety Awareness Training","Dhaka Bangladesh","Bengali"
"July 9-13 2012","Five-Day Lead Auditor Course","Singapore","Chinese"
"July 30-August 1 2012","Three-Day Internal Auditor Course","Colombia","Spanish"
"August 14-16 2012","Three-Day internal Auditor Course","Mexico City Mexico","Spanish"
"August 14-16 2012","Three-Day Internal Auditor Course","Shanghai China","Chinese"
"August 17 2012","Monitor Refresher Course","Mexico City Mexico","English"
"August 17 2012","Monitor Refresher Course","Shanghai China","Chinese"
"August 21-23 2012","Three-Day Internal Auditor Course","San Pedro Sula Honduras","Spanish"
"August 23-24 2012","Two-Day Foundation in Auditor Skills and Techniques","San Pedro Sula Honduras","Spanish"
"September 21 2012","Monitor Refresher Course","Shenzhen China","English"
"September 26-28 2012","Three-Day Internal Auditor Course","San Francisco C.A. U.S.A.","English"
"October 15-19 2012","Five-Day Lead Auditor Course","Thailand","English"
"October 19 2012","Monitor Refresher Course","Thailand","English"
"November 12-16 2012","Five-Day Lead Auditor Course","Shenzhen China","Chinese"
"December 12-14 2012","Three-Day Internal Auditor Course","Shenzhen China","Chinese"
