"common name (animals)","scientific name","category"
"acadian flycatcher","empidonax virescens","bird"
"alder flycatcher","empidonax alnorum","bird"
"american burying beetle","nicrophorus americanus","insect"
"american coot","fulica americana","bird"
"american crow","corvus brachyrhynchos","bird"
"american eel","anguilla rostrata","fish"
"american goldfinch","carduelis tristis","bird"
"american kestrel","falco sparverius","bird"
"american redstart","setophaga ruticilla","bird"
"american robin","turdus migratorius","bird"
"american tree sparrow","spizella arborea","bird"
"american wigeon","anas americana","bird"
"american woodcock","scolopax minor","bird"
"asiatic clam","corbicula fluminea","mussel"
"bachman's sparrow","aimophila aestivalis","bird"
"bald eagle","haliaeetus leucocephalus","bird"
"baltimore oriole","icterus galbula","bird"
"banded darter","etheostoma zonale","fish"
"banded sculpin","cottus carolinae","fish"
"barn owl","tyto alba","bird"
"barn swallow","hirundo rustica","bird"
"barred owl","strix varia","bird"
"bay-breasted warbler","dendroica castanea","bird"
"beaver","castor canadensis","mammal"
"bell's vireo","vireo bellii","bird"
"belted kingfisher","ceryle alcyon","bird"
"bewick's wren","thryomanes bewickii","bird"
"big brown bat","eptesicus fuscus","mammal"
"bigeye shiner","notropis boops","fish"
"bison","bison bison","mammal"
"black bear","ursus americanus","mammal"
"black bullhead","ameiurus melas","fish"
"black crappie","pomoxis nigromaculatus","fish"
"black rat snake","elaphe obsoleta obsoleta","reptile"
"black redhorse","moxostoma duquesnei","fish"
"black sandshell","ligumia recta","mussel"
"black-and-white warbler","mniotilta varia","bird"
"black-billed cuckoo","coccyzus erythropthalmus","bird"
"blackburnian warbler","dendroica fusca","bird"
"black-capped chickadee","parus atricapillus","bird"
"black-crowned night heron","nycticorax nycticorax","bird"
"blacknose shiner","notropis heterolepis","fish"
"blackpoll warbler","dendroica striata","bird"
"blackspotted topminnow","fundulus olivaceus","fish"
"black-throated green warbler","dendroica virens","bird"
"blanchard's cricket frog","acris crepitans blanchardi","amphibian"
"bleeding shiner","luxilus zonatus","fish"
"blue grosbeak","guiraca caerulea","bird"
"blue jay","cyanocitta cristata","bird"
"bluegill","lepomis macrochirus","fish"
"blue-gray gnatcatcher","polioptila caerulea","bird"
"bluestripe darter","percina cymatotaenia","fish"
"blue-winged teal","anas discors","bird"
"blue-winged warbler","vermivora pinus","bird"
"bluntnose minnow","pimephales notatus","fish"
"bobolink","dolichonyx oryzivorus","bird"
"broadhead skink","eumeces laticeps","reptile"
"broad-winged hawk","buteo platypterus","bird"
"brook silverside","labidesthes sicculus","fish"
"brown creeper","certhia americana","bird"
"brown thrasher","toxostoma rufum","bird"
"brown-headed cowbird","molothrus ater","bird"
"bufflehead","bucephala albeola","bird"
"bull frog","rana catesbeiana","amphibian"
"bullsnake","pituophis melanoleucus sayi","reptile"
"canada goose","branta canadensis","bird"
"canada warbler","wilsonia canadensis","bird"
"canvasback","aythya valisineria","bird"
"carolina chickadee","parus carolinensis","bird"
"carolina wren","thryothorus ludovicianus","bird"
"caspian tern","sterna caspia","bird"
"cattle egret","bubulcus ibis","bird"
"cave salamander","eurycea lucifuga","amphibian"
"cedar waxwing","bombycilla cedrorum","bird"
"central missouri cave amphipod","allocrangonyx hubrichti","crustacean"
"central newt","notophthalamus viridescens louisianensis","amphibian"
"central stoneroller","campostoma anomalum","fish"
"cerulean warbler","dendroica cerulea","bird"
"channel catfish","ictalurus punctatus","fish"
"chestnut lamprey","ichthyomyzon castaneus","fish"
"chestnut-sided warbler","dendroica pensylvanica","bird"
"chimney swift","chaetura pelagica","bird"
"chipping sparrow","spizella passerina","bird"
"chuck-will's-widow","caprimulgus carolinensis","bird"
"cliff swallow","hirundo pyrrhonota","bird"
"common carp","cyprinus carpio","fish"
"common goldeneye","bucephala clangula","bird"
"common grackle","quiscalus quiscula","bird"
"common loon","gavia immer","bird"
"common map turtle","graptemys geographica","reptile"
"common merganser","mergus merganser","bird"
"common moorhen","gallinula chloropus","bird"
"common musk turtle","sternotherus odoratus","reptile"
"common nighthawk","chordeiles minor","bird"
"common snapping turtle","chelydra serpentina serpentina","reptile"
"common snipe","gallinago gallinago","bird"
"common yellowthroat","geothlypis trichas","bird"
"connecticut warbler","oporornis agilis","bird"
"cooper's hawk","accipiter cooperii","bird"
"creek chub","semotilus atromaculatus","fish"
"dark-eyed junco","junco hyemalis","bird"
"dark-sided salamander","eurycea longicauda melanopleura","amphibian"
"deer mouse","peromyscus maniculatus","mammal"
"devil crayfish","cambarus diogenes","crustacean"
"dickcissel","spiza americana","bird"
"double-crested cormorant","phalacrocorax auritus","bird"
"downy woodpecker","picoides pubescens","bird"
"dwarf american toad","bufo americanus charlesmithi","amphibian"
"eastern bluebird","sialia sialis","bird"
"eastern chipmunk","tamias striatus","mammal"
"eastern coachwhip","masticophis flagellum flagellum","reptile"
"eastern collared lizard","crotaphytus collaris collaris","reptiles"
"eastern cottontail","sylvilagus floridanus","mammal"
"eastern garter snake","thamnophis sirtalis sirtalis","reptile"
"eastern gray treefrog","hyla versicolor","amphibian"
"eastern hellbender","cryptobranchus alleganiensis alleganiensis","amphibian"
"eastern hognose snake","heterodon platirhinos","reptile"
"eastern kingbird","tyrannus tyrannus","bird"
"eastern meadowlark","sturnella magna","bird"
"eastern narrowmouth toad","gastrophryne carolinensis","amphibian"
"eastern phoebe","sayornis phoebe","bird"
"eastern pipistrelle","pipistrellus subflavus","mammal"
"eastern screech-owl","otus asio","bird"
"eastern small-footed myotis","myotis leibii","mammal"
"eastern spiny softshell","apalone spinifer spinifer","reptile"
"eastern tiger salamander","ambystoma tigrinum tigrinum","amphibian"
"eastern towhee","pipilo erythrophthalmus","bird"
"eastern wood rat","neotoma floridana","mammal"
"eastern wood-pewee","contopus virens","bird"
"eastern yellowbelly racer","coluber constrictor flaviventris","reptile"
"elk","cervus elaphus","mammal"
"elktoe","alasmidonta marginata","mollusk"
"ellipse","venustaconcha ellipsiformis","mussel"
"european starling","sturnus vulgaris","bird"
"evening grosbeak","coccothraustes vespertinus","bird"
"false map turtle","graptemys p. pseudogeographica","reptile"
"fantail darter","etheostoma flabellare","fish"
"fathead minnow","pimephales promelas","fish"
"fatmucket or eastern lampmussel","lampsilis siliquoidea (=radiata)","mussel"
"field sparrow","spizella pusila","bird"
"five-lined skink","eumeces fasciatus","reptile"
"flathead catfish","pylodictis olivaris","fish"
"flathead snake","tantilla gracilis","reptile"
"fluted-shell","lasmigona costata","mussel"
"forster's tern","sterna forsteri","bird"
"four-toed salamander","hemidactylium scutatum","amphibian"
"fowler's toad","bufo woodhousei fowleri","amphibian"
"fox sparrow","passerella iliaca","bird"
"fragile papershell","leptodea fragilis","mussel"
"freshwater drum","aplodinotus grunniens","fish"
"gadwall","anas strepera","bird"
"giant floater","pyganodon (=anodonta) grandis","mussel"
"gilt darter","percina evides","fish"
"gizzard shad","dorosoma cepedianum","fish"
"golden crayfish","orconectes luteus","crustacean"
"golden eagle","aquila chrysaetos","bird"
"golden mouse","ochrotomys nuttalli","mammal"
"golden redhorse","moxostoma erythrurum","fish"
"golden shiner","notemigonus crysoleucas","fish"
"golden-crowned kinglet","regulus satrapa","bird"
"golden-winged warbler","vermivora chrysoptera","bird"
"goldfish","carassius auratus","fish"
"grasshopper sparrow","ammodramus savannarum","bird"
"gravel chub","erimystax x-punctatus","fish"
"gray bat","myotis grisecens","mammal"
"gray catbird","dumetella carolinensis","bird"
"gray wolf","canis lupus","mammal"
"graybelly salamander","eurycea multiplicata griseogaster","amphibian"
"gray-cheeked thrush","catharus minimus","bird"
"great blue heron","ardea herodias","bird"
"great crested flycatcher","myiarchus crinitus","bird"
"great egret","ardea albus","bird"
"great horned owl","bubo virginianus","bird"
"great plains rat snake","elaphe guttata emoryi","reptile"
"greater yellowlegs","tringa melanoleuca","bird"
"green frog","rana clamitans melanota","amphibian"
"green heron","butorides virescens","bird"
"green sunfish","lepomis cyanellus","fish"
"greenside darter","etheostoma blennioides","fish"
"green-winged teal","anas crecca","bird"
"grotto salamander","typhlotriton spelaeus","amphibian"
"ground skink","scincella lateralis","reptile"
"hairy woodpecker","picoides villosus","bird"
"henslow's sparrow","ammodramus henslowii","bird"
"hermit thrush","catharus guttatus","bird"
"herring gull","larus argentatus","bird"
"highfin carpsucker","carpiodes velifer","fish"
"hooded merganser","lophodytes cucullatus","bird"
"hooded warbler","wilsonia citrina","bird"
"horned grebe","podiceps auritus","bird"
"horned lark","eremophila alpestris","bird"
"hornyhead chub","nocomis biguttatus","fish"
"house sparrow","passera domesticus","bird"
"house wren","troglodytes aedon","bird"
"hybrid sunfish","lepomis sp.","fish"
"indiana bat","myotis sodalis","mammal"
"indigo bunting","passerina cyanea","bird"
"kentucky warbler","oporornis formosus","bird"
"killdeer","charadrius vociferus","bird"
"largemouth bass","micropterus salmoides","fish"
"largescale stoneroller","campostoma oligolepis","fish"
"lark sparrow","chondestes grammacus","bird"
"laughing gull","larus atricilla","bird"
"least flycatcher","empidonax minimus","bird"
"least sandpiper","calidris minutilla","bird"
"lesser scaup","aythya affinis","bird"
"lesser yellowlegs","tringa flavipes","bird"
"little brown bat","myotis lucifugus","mammal"
"loggerhead shrike","lanius ludovicianus","bird"
"logperch","percina caprodes","fish"
"longear sunfish","lepomis megalotis","fish"
"longnose gar","lepisosteus osseus","fish"
"long-tailed weasel","mustela frenata","mammal"
"louisiana waterthrush","seiurus motacilla","bird"
"magnolia warbler","dendroica magnolia","bird"
"mallard","anas platyrhynchos","bird"
"marbled salamander","ambystoma opacum","amphibian"
"marsh wren","cistothorus palustris","bird"
"merlin","falco columbarius","bird"
"midland brown snake","storeria dekayi wrightorum","reptile"
"midland smooth softshell","apalone muticus muticus","reptile"
"mink","mustela vison","mammal"
"missouri river cooter","pseudemys concinna metteri","reptile"
"missouri saddled darter","etheostoma tetrazonum","fish"
"monkeyface","quadrula metanevra","mussel"
"mooneye","hiodon tergisus","fish"
"mosquitofish","gambusia affinis","fish"
"mountain lion","felis concolor","mammal"
"mourning dove","zenaida macroura","bird"
"mourning warbler","oporornis philadelphia","bird"
"mucket","actinonaias ligamentina","mussel"
"mudpuppy","necturus maculosus","amphibian"
"muskrat","ondatra zibethicus","mammal"
"nashville warbler","vermivora ruficapilla","bird"
"northen spring peeper","hyla crucifer crucifer","amphibian"
"northern bobwhite","colinus virginianus","bird"
"northern broken-ray","lampsilis reeviana brittsi","mussel"
"northern brook lamprey","ichthyomyzon fossor","fish"
"northern cardinal","cardinalis cardinalis","bird"
"northern fence lizard","sceloporus undulatus hyacinthinus","reptile"
"northern flicker","colaptes auratus","bird"
"northern harrier","circus cyaneus","bird"
"northern hog sucker","hypentelium nigricans","fish"
"northern mockingbird","mimus polyglottos","bird"
"northern parula","parula americana","bird"
"northern pintail","anas acuta","bird"
"northern redbelly snake","storeria occipitomaculata occipitomaculata","reptile"
"northern rough-winged swallow","stelgidopteryx serripennis","bird"
"northern scarlet snake","cemophora coccinea copei","reptiles"
"northern shoveler","anas clypeata","bird"
"northern studfish","fundulus catenatus","fish"
"northern water snake","nerodia sipedon sipedon","reptile"
"northern waterthrush","seiurus noveboracensis","bird"
"onondaga cave amphipod","stygobromus onondagaensis","crustacean"
"orange-crowned warbler","vermicora celata","bird"
"orangespotted sunfish","lepomis humilis","fish"
"orangethroat darter","etheostoma spectabile","fish"
"orchard oriole","icterus spurius","bird"
"ornate box turtle","terrapene ornata ornata","reptile"
"osage copperhead","agkistrodon contortrix phaeogaster","reptile"
"osprey","pandion haliaetus","bird"
"ouachita kidneyshell","ptychobranchus occidentalis","mussel"
"ovenbird","seiurus aurocapillus","bird"
"ozark broken-ray","lampsilis reeviana brevicula","mussel"
"ozark minnow","notropis nubilus","fish"
"ozark pigtoe","fusconaia ozarkensis","mussel"
"ozark sculpin","cottus hypselurus","fish"
"palm warbler","dendroica palmarum","bird"
"paper pondshell","utterbackia (=anodonta) imbecillis","mussel"
"pickerel frog","rana palustris","amphibian"
"pied-billed grebe","podilymbus podiceps","bird"
"pileated woodpecker","dryocopus pileatus","bird"
"pimpleback","quadrula pustulosa","mussel"
"pine warbler","dendroica pinus","bird"
"pink heelsplitter","potamilus alatus","mussel"
"pistolgrip","tritogonia verrucosa","mussel"
"plain pocketbook","lampsilis cardium","mussel"
"plains topminnow","fundulus sciadicus","fish"
"pondmussel","ligumia subrostrata","mussel"
"prairie kingsnake","lampropeltis calligaster calligaster","reptile"
"prairie racerunner","cnemidophorus sexlineatus viridis","reptile"
"prairie ringneck snake","diadophis punctatus arnyi","reptile"
"prairie vole","microtus ochrogaster","mammal"
"prairie warbler","dendroica discolor","bird"
"prothonotary warbler","protonotaria citrea","bird"
"purple finch","carpodacus purpureus","bird"
"purple martin","progne subis","bird"
"purple wartyback","cyclonaias tuberculata","mussel"
"quillback","carpiodes cyprinus","fish"
"raccoon","procyon lotor","mammal"
"rainbow darter","etheostoma caeruleum","fish"
"rainbow trout","oncorhynchus mykiss","fish"
"red milk snake","lampropeltis triangulum syspila","reptile"
"red-bellied woodpecker","melanerpes carolinus","bird"
"red-breasted nuthatch","sitta canadensis","bird"
"red-eared slider","trachemys scripta elegans","reptile"
"red-eyed vireo","vireo olivaceus","bird"
"redfin shiner","lythrurus umbratilis","fish"
"redhead","aythya americana","bird"
"red-headed woodpecker","melanerpes erythrocephalus","bird"
"redhorse sp.","moxostoma sp.","fish"
"red-shouldered hawk","buteo lineatus","bird"
"red-tailed hawk","buteo jamaicensis","bird"
"red-winged blackbird","agelaius phoeniceus","bird"
"ringed salamander","ambystoma annulatum","amphibian"
"ring-necked duck","aythya collaris","bird"
"river carpsucker","carpiodes carpio","fish"
"river redhorse","moxostoma carinatum","fish"
"rock bass","ambloplites rupestris","fish"
"rock dove","columba livia","bird"
"rose-breasted grosbeak","pheucticus ludovicianus","bird"
"rosyface shiner","notropis rubellus","fish"
"rough earth snake","virginia striatula","reptile"
"rough green snake","opheodrys aestivus","reptile"
"round pigtoe","pleurobema coccineum","mussel"
"ruby-crowned kinglet","regulus calendula","bird"
"ruby-throated hummingbird","archilochus colubris","bird"
"ruddy duck","oxyura jamaicensis","bird"
"ruffed grouse","bonasa umbellus","bird"
"salem cave crayfish","cambarus hubrichti","crustacean"
"sand shiner","notropis stramineus","fish"
"savannah sparrow","passerculus sandwichensis","bird"
"scarlet tanager","piranga olivacea","bird"
"scissor-tailed flycatcher","tyrannus forficatus","bird"
"sedge wren","cistothorus platensis","bird"
"semipalmated sandpiper","calidris pusilla","bird"
"sharp-shinned hawk","accipiter striatus","bird"
"shorthead redhorse","moxostoma macrolepidotum","fish"
"shortnose gar","lepisosteus platostomus","fish"
"silver redhorse","moxostoma anisurum","fish"
"skipjack herring","alosa chrysochloris","fish"
"slender madtom","noturus exilis","fish"
"slenderhead darter","percina phoxocephala","fish"
"slippershell mussel","alasmidonta viridis","mussel"
"smallmouth bass","micropterus dolomieu","fish"
"smallmouth buffalo","ictiobus bubalus","fish"
"snow goose","chen caerulescens","bird"
"snowy egret","egretta thula","bird"
"softshell turtles","trionyx spp.","reptile"
"solitary vireo","vireo solitarius","bird"
"song sparrow","melospiza melodia","bird"
"sora","porzana carolina","bird"
"southern coal skink","eumeces anthracinus pluvialis","reptile"
"southern leopard frog","rana utricularia","amphibian"
"southern redback salamander","plethodon serratus","amphibian"
"southern redbelly dace","phoxinus erythrogaster","fish"
"speckled kingsnake","lampropeltis getula holbrooki","reptile"
"spectaclecase","cumberlandia monodonta","mollusk"
"spike","elliptio dilatata","mussel"
"spotfin shiner","cyprinella spiloptera","fish"
"spothanded crayfish","orconectes punctimanus","crustacean"
"spotted bass","micropterus punctulatus","fish"
"spotted salamander","ambystoma maculatum","amphibian"
"spotted sandpiper","actitis macularia","bird"
"squawfoot","strophitus undulatus","mussel"
"stippled darter","etheostoma punctulatum","fish"
"stonecat","noturus flavus","fish"
