"","name","industry","shares"
"NULL","NULL","basic materials","NULL"
"ssl","sasol limited (adr)","chemical manufacturing","28"
"slgn","silgan holdings inc.","containers &#038; packaging","27"
"gg","goldcorp inc. (usa)","gold &#038; silver","36"
"glg","glamis gold ltd. (usa)","gold &#038; silver","29"
"ggb","gerdau s.a.   (adr)","iron &#038; steel","75"
"fcx","freeport-mcmoran copper &#038; gold","metal mining","20"
"NULL","NULL","capital goods","NULL"
"crdn","ceradyne inc.","aerospace &#038; defense","21"
"erj","embraer- (adr)","aerospace &#038; defense","29"
"gff","griffon corporation","constr. &#8211; supplies &#038; fixtures","39"
"nvr","nvr inc.","construction services","2"
"ohb","orleans   homebuilders","construction services","63"
"tol","toll brothers inc.","construction services","37"
"midd","the middleby corporation","misc. capital goods","12"
"NULL","NULL","conglomerates","NULL"
"fo","fortune brands inc.","conglomerates","14"
"mmm","3m company","conglomerates","12"
"nhy","norsk hydro asa (adr)","conglomerates","40"
"NULL","NULL","consumer cyclical","NULL"
"tpx","tempur-pedic international inc.","furniture &#038; fixtures","71"
"cttay","continental ag (adr)","tires","10"
"bud","anheuser-busch companies inc.","beverages (alcoholic)","22"
"hinky","heineken n.v. (adr)","beverages (alcoholic)","51"
"hans","hansen natural corp.","beverages (nonalcoholic)","6"
"cpb","campbell soup company","food processing","28"
"plb","american italian pasta company","food processing","122"
"cl","colgate-palmolive company","personal &#038; household prods.","17"
"lby","libbey inc.","personal &#038; household prods.","144"
"pyx","playtex products inc.","personal &#038; household prods.","95"
"usna","usana health sciences inc.","personal &#038; household prods.","26"
"ycc","the yankee candle company inc.","personal &#038; household prods.","39"
"ust","ust inc.","tobacco","23"
"vgr","vector group ltd.","tobacco","61"
"NULL","NULL","energy","NULL"
"hw","headwaters incorporated","coal","39"
"cop","conocophillips","oil &#038; gas &#8211; integrated","17"
"sto","statoil asa (adr)","oil &#038; gas &#8211; integrated","39"
"kcs","kcs energy inc.","oil &#038; gas operations","38"
"helx","helix energy solutions group inc.","oil well services &#038; equipment","32"
"NULL","NULL","financial","NULL"
"clay","clayton holdings inc.","consumer financial services","81"
"lend","accredited home lenders holding co.","consumer financial services","22"
"nick","nicholas financial inc.","consumer financial services","74"
"sie","sierra health services inc.","insurance (accident &#038; health)","23"
"gbl","gamco investor inc.","investment services","29"
"seic","sei investments company","investment services","23"
"fii","federated investors inc.","misc. financial services","32"
"cib","bancolombia s.a. (adr)","regional banks","43"
"fbp","first bancorp.","regional banks","108"
"frgb","first regional bancorp","regional banks","12"
"rgf","r&#038;g financial corporation","regional banks","124"
"NULL","NULL","healthcare","NULL"
"bste","biosite incorporated","biotechnology &#038; drugs","23"
"prx","par pharmaceutical companies inc","biotechnology &#038; drugs","51"
"taro","taro pharmaceutical industries ltd.","biotechnology &#038; drugs","99"
"ahg","apria healthcare group inc.","healthcare facilities","56"
"lake","lakeland industries inc.","medical equipment &#038; supplies","69"
"NULL","NULL","services","NULL"
"ad","advo inc.","advertising","42"
"vci","valassis communications inc.","advertising","37"
"sga","saga communications inc.","broadcasting &#038; cable tv","105"
"acn","accenture ltd","business services","37"
"csgs","csg systems international inc.","business services","41"
"dnb","the dun &#038; bradstreet corporation","business services","15"
"efx","equifax inc.","business services","28"
"fis","fidelity national information services","business services","28"
"ibm","international business machines corp.","business services","13"
"mcri","monarch casino &#038; resort inc.","casinos &#038; gaming","38"
"mgam","multimedia games inc.","casinos &#038; gaming","104"
"shfl","shuffle master inc.","casinos &#038; gaming","32"
"dcm","ntt docomo inc. (adr)","communications services","68"
"utsi","utstarcom inc.","communications services","157"
"hrb","h&#038;r block inc.","personal services","42"
"jrc","journal register company","printing &#038; publishing","109"
"imh","impac mortgage holdings inc","real estate operations","94"
"new","new century financial (reit)","real estate operations","22"
"isca","international speedway corporation","recreational activities","22"
"rcii","rent-a-center inc","rental &#038; leasing","40"
"sbux","starbucks corporation","restaurants","27"
"yum","yum! brands inc.","restaurants","19"
"josb","jos. a. bank clothiers inc.","retail (apparel)","41"
"tjx","the tjx companies inc.","retail (apparel)","44"
"pets","petmed express inc.","retail (drugs)","82"
"nafc","nash-finch company","retail (grocery)","49"
"abg","asbury automotive group inc.","retail (specialty)","48"
"azo","autozone inc.","retail (specialty)","11"
"bgp","borders group inc.","retail (specialty)","52"
"bj","bj&#8217;s wholesale club inc.","retail (specialty)","36"
"gtrc","guitar center inc.","retail (specialty)","20"
"hzo","marinemax inc.","retail (specialty)","37"
"mcm","controladora comercial mexicana sa (adr)","retail (specialty)","33"
"zlc","zale corporation","retail (specialty)","41"
"esi","itt educational services","schools","16"
"mtlm","metal management inc.","waste management services","34"
"NULL","NULL","technology","NULL"
"plt","plantronics inc.","communications equipment","46"
"dell","dell inc.","computer hardware","42"
"tzoo","travelzoo inc.","computer services","34"
"dade","dade behring holdings inc.","scientific &#038; technical instr.","26"
"adbe","adobe systems incorporated","software &#038; programming","33"
"ctsh","cognizant technology solutions corp.","software &#038; programming","15"
"orcl","oracle corporation","software &#038; programming","69"
"NULL","NULL","transportation","NULL"
"pncl","pinnacle airlines corp.","airline","151"
"amie","ambassadors international inc.","misc. transportation","42"
"abfs","arkansas best corporation","trucking","23"
"lstr","landstar system inc.","trucking","22"
"NULL","NULL","utilities","NULL"
"pcg","pg&#038;e corporation","electric utilities","26"
"sji","south jersey industries","natural gas utilities","38"
