"country","city","airport","3lett","4lett"
"algeria","tlemcen","tlemcen &#8211; zenata &#8211; messali el","tlm","daon"
"algeria","touggourt","touggourt - sidi mahdi airport","tgr","dauk"
"algeria","zarzaitine","zarzaitine - in amenas airport","iam","dauz"
"angola","ambriz","ambriz","azz","fnam"
"angola","benguela","benguela - 17th of november","bug","fnbg"
"angola","cabinda","cabinda","cab","fnca"
"angola","huambo","albano machado","nov","fnhu"
"angola","kuito","bie","svp","fnku"
"angola","luanda","luanda - 4th of february","lad","fnlu"
"angola","lubango","lubango","sdd","fnub"
"angola","luena","luena","luo","fnue"
"angola","malange","malange","meg","fnma"
"angola","m'banza congo","m'banza congo","ssy","fnbc"
"angola","menongue","menongue","spp","fnme"
"angola","negage","negage","gxg","fnng"
"angola","n'giva","n'giva","ngv","fngi"
"angola","n'zeto","n'zeto","arz","fnze"
"angola","porto amboim","porto amboim","pbn","fnpa"
"angola","saurimo","saurimo","vhc","fnsa"
"angola","soyo","soyo","sza","fnso"
"angola","uige","uige","ugo","fnug"
"angola","wako kungo","wako kungo","ceo","fnwk"
"angola","xangongo","xangongo","xgn","fnxa"
"anguilla","anguilla","anguilla wallblake","axa","tqpf"
"antigua and barbuda","codrington barbuda","codrington airport","bbq","taph"
"antigua and barbuda","saint john's antigua","vc bird intl airport","anu","tapa"
"argentina","alto rio senguer","alto rio senguer airport","arr","savr"
"argentina","bahia blanca","comandante espora airport","bhi","sazb"
"argentina","bariloche","san carlos de bariloche intl a","brc","sazs"
"argentina","buenos aires","aeroparque jorge newbery","aep","sabe"
"argentina","catamarca","coronel felipe varela airport","ctc","sanc"
"argentina","comodoro rivadavia","general enrique mosconi airpor","crd","savc"
"argentina","cordoba","ingeniero ambrosio l.v. tarave","cor","saco"
"argentina","esquel","esquel airport","eqs","save"
"argentina","ezeiza","ezeiza intl airport","eze","saez"
"argentina","formosa","formosa intl airport","fma","sarf"
"argentina","general pico","general pico airport","gpo","sazg"
"argentina","la rioja","capit","irj","sanl"
"argentina","malarg","comodoro ricardo salomon airpo","lgs","samm"
"argentina","mar del plata","mar del plata intl airport","mdq","sazm"
"argentina","mendoza","el plumerillo intl airport","mdz","same"
"argentina","parana","general urquiza airport","pra","saap"
"argentina","posadas","general jose de san martin air","pss","sarp"
"argentina","puerto iguazu","cataratas del iguazu intl airp","igr","sari"
"argentina","puerto madryn","el tehuelche airport","pmy","savy"
"argentina","reconquista","daniel jurkic airport","rcq","satr"
"argentina","resistencia","resistencia intl airport","res","sare"
"argentina","rio cuarto","las higueras airport","rcu","saoc"
"argentina","rio gallegos","piloto civil n. fernandez airp","rgl","sawg"
"argentina","rio grande","hermes quijada airport","rga","sawe"
"argentina","rosario","rosario intl airport","ros","saar"
"argentina","salta","el aybal airport","sla","sasa"
"argentina","san fernando","san fernando airport","fdo","sadf"
"argentina","san juan","san juan airport","uaq","sanu"
"argentina","san luis","san luis airport","luq","saou"
"argentina","san rafael","suboficial aytes germano airpo","afa","samr"
"argentina","santa rosa","santa rosa airport","rsa","sazr"
"argentina","santiago del estero","vicecomodoro aragonez airport","sde","sane"
"argentina","tucuman","benjamin matienzo intl airport","tuc","sant"
"argentina","ushuaia","ushuaia intl airport","ush","sawh"
"argentina","viedma","gobernador castello airport","vdm","savv"
"argentina","villa reynolds","villa reynolds airport","vme","saor"
"armenia","yerevan","zvartnots","evn","ugee"
"aruba (netherlands)","aruba","queen beatrix intl airport","aua","tnca"
"australia","adelaide","adelaide intl airport","adl","ypad"
"australia","albany","albany airport","alh","yaba"
"australia","albury","albury airport","abx","ymay"
"australia","alice springs","alice springs airport","asp","ybas"
"australia","alpha","alpha airport","abh","yaph"
"australia","ararat","ararat airport","ary","yara"
"australia","armidale","armidale airport","arm","yarm"
"australia","avalon","avalon airport","avv","yavv"
"australia","bairnsdale","bairnsdale airport","bsj","ybns"
"australia","ballina","ballina-byron gateway airport","bnk","ybna"
"australia","balranald","balranald airport","bzd","ybrn"
"australia","bankstown","bankstown airport","bwu","ysbk"
"australia","bathurst","bathurst airport","bhs","ybth"
"australia","bathurst island","bathurst island airport","brt","ybti"
"australia","bedourie","bedourie airport","beu","ybie"
"australia","benalla","benalla airport","bln","ybla"
"australia","blackall","blackall airport","bkq","ybck"
"australia","blackwater","blackwater airport","blt","ybtr"
"australia","boulia","boulia airport","bql","ybou"
"australia","bourke","bourke airport","brk","ybke"
"australia","brewarrina","brewarrina airport","bwq","ybrw"
"australia","bright","mount hotham airport","mhu","yhot"
"australia","brisbane","brisbane airport","bne","ybbn"
"australia","broken hill","broken hill airport","bhq","ybhi"
"australia","broome","broome intl airport","bme","ybrm"
"australia","bundaberg","bundaberg airport","bdb","ybud"
"australia","burnie","burnie airport","bwt","ywyy"
"australia","busselton","busselton regional airport","bqb","ybln"
"australia","cairns","cairns intl airport","cns","ybcs"
"australia","cambridge","hobart intl airport","hba","ymhb"
"australia","camden","camden airport","cdu","yscn"
"australia","canberra","canberra intl airport","cbr","yscb"
"australia","carnarvon","carnarvon airport","cvq","ycar"
"australia","ceduna","ceduna airport","ced","ycdu"
