"Language","Territory","Character Set","Directory"
"English","&#8212;","ASCII","/usr/share/man/en"
"English","United Kingdom","ISO 8859-15","/usr/share/man/en_GB"
"English","United States","ASCII","/usr/share/man/en_US"
"French","Canada","ISO 8859-1","/usr/share/man/fr_CA"
"French","France","ISO 8859-1","/usr/share/man/fr_FR"
"German","Germany","ISO 646","/usr/share/man/de_DE.646"
"German","Germany","ISO 6937","/usr/share/man/de_DE.6937"
"German","Germany","ISO 8859-1","/usr/share/man/de_DE.88591"
"German","Switzerland","ISO 646","/usr/share/man/de_CH.646"
"Japanese","Japan","JIS","/usr/share/man/ja_JP.jis"
"Japanese","Japan","SJIS","/usr/share/man/ja_JP.sjis"
"Japanese","Japan","UJIS (or EUC-J)","/usr/share/man/ja_JP.ujis"
