"hospital","address","interventional ","tel no."
" "," ","radiologist","e-mail"
"royal infirmary","dept. of radiology","dr jana maskova","01224 681818"
" ","aberdeen royal infirmary"," ","myomectomy also "
" ","foresterhill"," ","available "
" ","aberdeen ab2 5xb"," "," "
" "," "," "," "
"ayr hospital","dept. of radiology","dr mark ablett","01292 610555"
" ","ayr hospital dalmellington road","ayr hospital dalmellington road"," "
" ","ayr "," "," "
" ","ka6 6dx"," "," "
" "," "," "," "
"abbey carrick glen hospital","abbey carrick glen hospital"," "," "
"ayr","dalmellington road","dr mark ablett"," "
"private","ayr ka6 6pg"," "," "
" "," "," "," "
"ninewells hospital","ninewells hospital","professor graeme houston","01382 660111"
" ","dept. of radiolgy"," ","myomectomy also "
" ","dundee dd1 9sy"," ","available "
" "," "," ","soon to offer hifu"
" "," "," "," "
"edinburgh royal infirmary","dept. of radiology","dr susan ingram","0131 242 3700 "
" ","royal infirmary of edinburgh ","dr ian masson"," "
" ","51 little france crescent"," "," "
" ","old dalkeith road"," "," "
" ","edinburgh"," "," "
" ","eh16 4sa "," "," "
" "," "," "," "
"stirling royal infirmary","dept. of radiology","dr emma beveridge","01786 434496 "
"in summer will move to ","stirling royal infirmary"," ","or 434000 x4205"
"forth valley royal hospital","livilands stirling"," "," "
" ","fk8 2au"," "," "
" "," "," "," "
"southern general glasgow","main x-ray dept","dr grant urqhart","0141 201 1540"
" ","southern general hospital"," ","myomectomy also "
" ","1345 govern road glasgow g51 4tf"," ","available "
" ","1345 govern road glasgow g51 4tf"," "," "
" ","1345 govern road glasgow g51 4tf"," "," "
"http://www.gla.ac.uk/departments/interventionalradiology/","http://www.gla.ac.uk/departments/interventionalradiology/"," "," "
" "," "," "," "
"gartnavel hospital","dept. of radiology","prof jon moss ","0141 211 3113"
"glasgow","gartnavel general hospital"," ","myomectomy also "
" ","1053 great western road"," ","available "
" ","glasgow g12 0xh"," "," "
" "," "," "," "
"hairmyeres","dept. of radiology","dr matthias naveen","01355 585 000"
"glasgow","hairmyeres hospital","dr fong lowe"," "
" ","eaglesham road"," "," "
" ","east kilbride"," "," "
" ","g75 8rg"," "," "
" "," "," "," "
"ross hall hospital (bmi) ","radiology dept","prof jon moss ","0141 810 3151"
"glasgow","ross hall hospital"," "," "
"private","221 crookston road"," "," "
" ","glasgow g52 3nq"," "," "
" "," "," "," "
"raigmore hospital","dr mike ashcroft  ","radiology department","01463 704000"
"inverness"," ","raigmore hospital  ","ask for radiology"
" "," ","old perth road"," "
" "," ","inverness "," "
" "," ","iv2 3uj "," "
" "," "," "," "
