"1","washington dc","19interested"
"2","alexandria va","5interested"
"3","raleigh nc","5interested"
"4","new orleans la","3interested"
"5","baltimore md","2interested"
"6","charlotte nc","2interested"
"7","annandale va","1interested"
"8","ashburn va","1interested"
"9","atlanta ga","1interested"
"10","bellefonte pa","1interested"
"11","cortland oh","1interested"
"12","dallas tx","1interested"
"13","denver co","1interested"
"14","elk grove ca","1interested"
"15","fairfax va","1interested"
"16","hamilton on canada","1interested"
"17","haymarket va","1interested"
"18","johnstown pa","1interested"
"19","lake mary fl","1interested"
"20","los angeles ca","1interested"
