"dates","tournament","position","score","rounds"
"10 - 13 sep 2009","mercedes-benz championship","t0","-10","70 - 68 - 69 - 71"
"13 - 16 aug 2009","us pga championship","t6","-1","73 - 71 - 68 - 75"
"06 - 09 aug 2009","bridgestone invitational","t29","+1","69 - 72 - 70 - 70"
"16 - 19 jul 2009","british open","t13","+2","71 - 70 - 71 - 70"
"25 - 28 jun 2009","bmw international open","t35","-7","68 - 72 - 72 - 69"
"18 - 21 jun 2009","us open","9","+1","73 - 70 - 70 - 68"
"11 - 14 jun 2009","st. jude classic","cut","+8","73 - 75"
"28 - 31 may 2009","european open","cut","+12","76 - 80"
"07 - 10 may 2009","the players championship","1","+4","68 - 69 - 73 - 66"
"23 - 26 apr 2009","ballantines championship","t52","+10","68 - 74 - 81 - 75"
"09 - 12 apr 2009","us masters","t38","+1","71 - 70 - 75 - 73"
"02 - 05 apr 2009","shell houston open","t3","-9","70 - 67 - 72 - 70"
"12 - 15 mar 2009","ca championship","t77","+10","69 - 73 - 73 - 83"
"29 jan - 01 feb 2009","dubai desert classic","3","-17","68 - 65 - 71 - 67"
"22 - 25 jan 2009","qatar masters","t2","-16","66 - 72 - 66 - 68"
"15 - 18 jan 2009","abu dhabi golf championship","cut","+2","76 - 70"
