"项&nbsp; 目","指&nbsp; 标","&nbsp;"
"漆漠干燥条件","140℃&#215;30min","gb/t1727-92"
"漆膜颜色及外观","符合标准样板及色差范围，平整，光亮，无颗粒","gb/t9761-88"
"光泽（60&#176;）","&#8805;90","gb/t9754-88"
"硬度（铅笔法）","&#8805;h","gb/t6739-86"
"弹性，mm","1","gb/t1731-93"
"附着力（划格法），级","1","gb/t9286-88"
"冲击强度，kg．cm","50","gb/t1732-93"
"耐水性（40℃水中，240h）","不起泡不起皱不脱落允许轻微变色能在3h内复原","gb/t1733"
"耐酸性（25℃，0.05m h2so4中，74h）","不起泡不起皱不脱落允许轻微变色变暗变软","gb/t1763"
"耐碱性（25℃，0.05m naoh中，48h）","不起泡不起皱不脱落允许轻微变色变暗变软","gb/t1763"
"耐汽油（25℃，航空汽油中，24h）","不起泡不起皱不脱落允许轻微变色变暗变软","gb/t1734"
"耐盐雾（240h，级）","1","gb/t1771"
