"&nbsp;Connections&nbsp;","&nbsp;Gateway ID&nbsp;","&nbsp;&nbsp;&nbsp;Title"
"28","2434","Historical abstracts."
"2","6099","Historical food guides : background and development."
"14","2048","Historical newspapers online"
"1","355","Historical state farm income indicators."
"0","4562","Historische Bibliographie online."
"In Process","6303","History and theory."
"1","5070","History of European ideas."
"2","891","History of science technology and medicine (Eureka Telnet : 1975- )."
"11","1770","History of science technology and medicine (Eureka Web : 1975- )."
"7","4467","History resource center U.S."
"7","1886","History reviews on-line."
"2","4573","History."
"1","6084","Hmong Cultural Center Inc."
"0","700","Hog outlook."
"2","616","Hogs and pigs--final estimates."
"8","724","Hogs and pigs."
"4","3338","Homepage of Asian Historical Statistics Project."
"0","716","Honey--final estimates."
"0","679","Honey."
"50","2992","Hoover's online : the business network."
"0","707","Hop stocks."
"0","4625","Horas Mandailing / compiled by Abdur-Razzaq Lubis."
"1","2865","Hormones and behavior."
"1","3178","Horticultural abstracts."
