"alaska","","illinois","","montana","","pennsylvania",""
"alabama","","indiana","","north carolina","","rhode island",""
"arkansas","","kansas","","north dakota","","south carolina",""
"arizona","","kentucky","","nebraska","","south dakota",""
"california","","louisiana","","new hampshire","","tennessee",""
"colorado","","massachusetts","","new jersey","","texas",""
"connecticut","","maryland","","new mexico","","utah",""
"delaware","","maine","","nevada","","virginia",""
"florida","","michigan","","new york","","vermont",""
"georgia","","minnesota","","ohio","","washington",""
"hawaii","","missouri","","oklahoma","","wisconsin",""
"iowa","","mississippi","","oregon","","west virginia","NULL"
"idaho","","NULL","NULL","NULL","NULL","NULL","NULL"
