"pythagoras","c. 580 b.c.-c. 500 b.c.","&nbsp;"
"hippocates","c. 460 b.c.-377 b.c.","&nbsp;"
"aristotle","384 b.c.-322 b.c.","platonism / greek philosophy"
"euclid","c. 325 b.c.-270 b.c.","platonism / greek philosophy"
"archimedes","c. 287-c. 212 b.c.","greek philosophy"
"eratosthenes","c. 276 b.c.-c. 196 b.c.","&nbsp;"
"galen","c. a.d. 130-c. 216","&nbsp;"
"hakim ibn-e-sina","a.d. 980-1037","islam"
"nicolaus copernicus","1473-1543","catholic (priest)"
"andreas vesalius","1514-1564","catholic"
"gallileo galilei","1564-1642","catholic"
"johannes kepler","1571-1630","lutheran"
"william harvey","1578-1657","anglican (nominal)"
"rene descartes","1596-1650","catholic"
"blaise pascal","1623-1662","jansenist"
"robert boyle","1627-1691","anglican"
"christian huygens","1632-1695","calvinist"
"anton van leeuwenhoek","1632-1723","dutch reformed"
"robert hooke","1635-1703","anglican"
"isaac newton","1642-1727","anglican (rejected trinitarianism i.e. athanasianism; believed in the arianism of the primitive church)"
"edmund halley","1656-1742","&nbsp;"
"daniel bernoulli","1700-1782","calvinist"
"benjamin franklin","1706-1790","presbyterian; deist"
"leonard euler","1707-1783","calvinist"
"carolus linnaeus","1707-1778","christianity"
"henry cavendish","1731-1810","&nbsp;"
"joseph priestley","1733-1804","presbyterian; unitarian"
"william herschel","1738-1822","jewish"
"antoine laurent lavoisier","1743-1794","catholic"
"alessandro volta","1746-1827","catholic"
"edward jenner","1749-1823","anglican"
"john dalton","1766-1844","quaker"
"georges cuvier","1769-1832","lutheran"
"alexander von humboldt","1769-1859","&nbsp;"
"karl friedrich gauss","1777-1855","lutheran"
"joseph louis gay-lussac","1778-1850","&nbsp;"
"humphry davy","1778-1829","&nbsp;"
"jons jakob berzelius","1779-1848","&nbsp;"
"michael faraday","1791-1867","sandemanian"
"charles babbage","1792-1871","anglican"
"joseph henry","1797-1878","presbyterian"
"matthew fontaine maury","1806-1873","&nbsp;"
"louis agassiz","1807-1873","lutheran"
"charles darwin","1809-1882","anglican (nominal); unitarian"
"augusta ada byron","1815-1852","&nbsp;"
"james prescott joule","1818-1868","&nbsp;"
"jean bernard leon foucault","1819-1868","&nbsp;"
"gregor mendel","1822-1884","catholic (augustinian monk)"
"louis pasteur","1822-1895","catholic"
"william thomson lord kelvin","1824-1907","anglican"
"joseph lister","1827-1912","quaker"
"friedrich august kekule","1829-1896","&nbsp;"
"james clerk maxwell","1831-1879","presbyterian; anglican; baptist"
"dmitri ivanovich mendeleyev","1834-1907","&nbsp;"
"william henry perkin","1838-1907","&nbsp;"
"wilhelm konrad roentgen","1845-1923","&nbsp;"
"thomas alva edison","1847-1931","congregationalist; agnostic"
"luther burbank","1849-1923","unitarian"
"ivan petrovich pavlov","1849-1936","&nbsp;"
"john ambrose fleming","1849-1945","&nbsp;"
"william ramsay","1852-1916","&nbsp;"
"antoine-henri becquerel","1852-1908","catholic"
"albert abraham michelson","1852-1908","jewish"
"sigmnd freud","1856-1939","jewish; atheist; freudian psychoanalysis (freudianism)"
"joseph john thomson","1856-1940","&nbsp;"
"nettie marie stevens","1861-1912","&nbsp;"
"george washington carver","1864-1943","christianity"
"marie sklodowska curie","1867-1934","catholic (lapsed)"
"henrietta swan leavitt","1868-1921","protestant"
"ernst rutherford","1871-1937","&nbsp;"
"lise meitner","1878-1968","jewish-born protestant"
"albert einstein","1879-1955","jewish"
"alexander fleming","1881-1955","catholic"
"niels bohr","1885-1962","jewish lutheran"
"selman abraham waksman","1888-1973","jewish"
"edwin powell hubble","1889-1953","&nbsp;"
"robert alexander watson-watt","1892-1973","&nbsp;"
"arthur holly compton","1892-1962","presbyterian"
"irene joliot-curie","1897-1956","&nbsp;"
"linus carl pauling","1901-1994","lutheran"
"enrico fermi","1901-1954","catholic"
"werner heisenberg","1901-1967","lutheran"
"margaret mead","1901-1978","episcopalian"
"barbara mcclintock","1902-1992","&nbsp;"
"grace brewster murray hopper","1906-1992","jewish"
"marie goeppert-mayer","1906-1972","&nbsp;"
"john bardeen","1908-1991","&nbsp;"
"william bradford shockley","1910-1989","&nbsp;"
"dorothy crowfood hodgkin","1910-1994","&nbsp;"
"jaques yves cousteau","1910-1997","&nbsp;"
"luis walter alvarez","1911-1988","&nbsp;"
"charles hard townes","1915-","&nbsp;"
"richard philipis feynman","1918-1988","jewish"
"frederick sanger","1918-","&nbsp;"
"rosalind elsie franklin","1920-1958","jewish"
"rosalyn sussman yalow","1921-","jewish"
"har gobind khorana","1922-","hindu"
"tsung-dao lee","1926-","&nbsp;"
"james dewey watson","1928-","&nbsp;"
"stephen william hawking","1942-","atheist"
