"event&nbsp;","from&nbsp;","to&nbsp;","institution&nbsp;","city&nbsp;","country&nbsp;"
"rembrandt und die englischen malerradierer des 19. jahrhunderts (rembrandt and the english peintre-graveurs of the 19th century) more...","13&nbsp;mar2005","14&nbsp;aug2005","museum schloss moyland","bedburg-hau","germany"
"rembrandt's late religious portraits more...","7&nbsp;jun2005","28&nbsp;aug2005","j. paul getty museum","los angeles california","usa"
"{exhibition|rembrandt's heroine from the old testament (esther or bathsheba) ca. 1632–33|more...}","21&nbsp;jun2005","22&nbsp;sep2005","israel museum","jerusalem","israel"
"{exhibition|rembrandt's heroine from the old testament (esther or bathsheba) ca. 1632–33|more...}","21&nbsp;jun2005","22&nbsp;sep2005","national gallery of canada","ottawa","canada"
"tekeningen van rembrandt en zijn leerlingen in de verzameling van jean de grez (drawings from rembrandt and his pupils in the collection of jean de grez) more...","8&nbsp;jul2005","30&nbsp;sep2005","koninklijke musea voor schone kunsten van belgië - museum voor oude kunst","brussel (brussels)","belgium"
"{exhibition|northern nocturnes: nightscapes in the age of rembrandt|more...}","1&nbsp;oct2005","11&nbsp;dec2005","national gallery of ireland","dublin","ireland"
"rembrandt and his time: masterworks from the albertina vienna more...","8&nbsp;oct2005","8&nbsp;jan2006","milwaukee art museum","milwaukee wisconsin","usa"
"rembrandt’s christmas more...","11&nbsp;oct2005","19&nbsp;feb2006","fitzwilliam museum","cambridge","united kingdom"
"rembrandt im kontrast: die blendung simsons und der segen jakobs gegenübergestellt (rembrandt in contrast: the blinding of samson compared with jacob’s blessing) more...","3&nbsp;nov2005","5&nbsp;feb2006","gemäldegalerie alte meister museumslandschaft hessen kassel","kassel","germany"
"rembrandt's athena from the gulbenkian museum lisbon portugal more...","3&nbsp;nov2005","5&nbsp;feb2006","state hermitage museum","st. petersburg","russia"
"rembrandt: die radierungen aus der sammlung e.w. kornfeld (rembrandt: the etchings from the collection of e.w. kornfeld) more...","26&nbsp;nov2005","26&nbsp;feb2006","kunstmuseum basel","basel","switzerland"
