"Activity","Adult","Child","Child","Senior(62+)"
"Empire State Building / Top Of Rock","$22","under 11yrs","$16","$19"
"Metropolitan Museum","$22","under 11yrs","Free","$17"
"Statue of Liberty Cruise","$29","under 11yrs","$17","$24"
"U.S.S Intrepid","$24","3-6yrs7-17yrs","$12    $19","$20"
"Washington  D.C Cruise","$22","under 11yrs","$15","$20"
"Boston Harbor  Cruise","$20","under 11yrs","$15","$18"
"Corning Glass Center","$14","under 19yrs","Free","$14"
"IMAX Movie (Canada Side)","$14.76","under 11yrs","$11","$14.76"
"Skylon Tower","$13.91","2 - 12yrs","$8.11","$13.91"
"Maid of the Mist (Canada Side)","$16.50","under 11yrs","$9.10","$16.50"
"Thousand Islands  Cruise","$20","under 11yrs","$12","$20"
"CN Tower","$26","under 11yrs","$21","$26"
"Lake Ontario Cruise","$22.05","under 11yrs","$16","$22.05"
"Quebec LA Citadel","$11","under 11yrs","$8","$10"
"Olympic Stadium","$19.5","under 11yrs","$12","$18"
"Ausable Chasm","$27.25","under 11yrs","$19.70","$27.25"
"Breaker Mansion","$19.5","under 11yrs","$6","$19.5"
"West Point Academy","$12","under 11yrs","$9","$12"
