"price","seller","condition","foil","language","details","qty","&nbsp;","&nbsp;"
"$0.10","abel022 (4.9)","near mint","","english","&nbsp;","4","1     2     3     4",""
"$0.10","eledamri (4.9)","near mint","","english","&nbsp;","6","1     2     3     4     5     6",""
"$0.10","oshapiro (4.9)","near mint","","english","&nbsp;","1","1",""
"$0.10","rsilva (4.9)","mint","","english","&nbsp;","5","1     2     3     4     5",""
"$0.10","rsilva (4.9)","near mint","","english","&nbsp;","3","1     2     3",""
"$0.10","ulrich (4.9)","near mint","","english","&nbsp;","2","1     2",""
"$0.10","will13 (4.8)","near mint","","english","&nbsp;","2","1     2",""
"$0.15","shonn (4.9)","near mint","","english","&nbsp;","6","1     2     3     4     5     6",""
"$0.19","fenixmagic (4.8)","near mint","","english","&nbsp;","2","1     2",""
"$0.19","j_n_r_cards (4.8)","near mint","","english","&nbsp;","1","1",""
"$0.20","john brozovsky (4.9)","near mint","","english","&nbsp;","4","1     2     3     4",""
"$0.25","shonn (4.9)","near mint","","english","&nbsp;","30","1     2     3     4     5     6     7     8     9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30",""
"$0.35","chambo254 (4.9)","near mint","","english","&nbsp;","1","1",""
