"centre","country","#of patients"
"institute of psychiatry & neurology","poland","190"
"royal hallamshire hospital","uk","118"
"uppsala university hospital","sweden","100"
"university hospital of north staffordshire","uk","97"
"western general hospital","uk","94"
"the national hospital for neurology & neurosurgery","uk","84"
"arrowe park hospital","uk","83"
"southend university hospital","uk","77"
"cliniques universitaires st luc","belgium","73"
"university hospital trondheim","norway","69"
"norfolk and norwich university hospital","uk","67"
"ulleval sykehus","norway","66"
"nottingham city hospital","uk","63"
"ospedale di citta' di castello","italy","62"
"guy's & st.thomas hospital","uk","60"
"darlington and bishop auckland hospitals","uk","56"
"nambour general hospital","australia","51"
"university hospital aintree","uk","46"
"danderyd hospital","sweden","46"
"university hospital of wales","uk","46"
"spzzoz w sandomierzu","poland","43"
"uavc. centro hospitalar de tr�s-os-montes e alto douro","portugal","42"
"nuovo ospedale civile s.agostino-estense","italy","40"
"derby royal hospital","uk","37"
"ospedale beato giacomo villa - citta' della pieve","italy","36"
"ospedale di branca","italy","36"
"medical university of gdansk","poland","35"
"landesklinikum donauregion tulln","austria","34"
"addenbrookes hospital","uk","34"
"st george's healthcare nhs trust","uk","34"
"royal devon & exeter hospital (wonford)","uk","30"
"hassleholm hospital","sweden","29"
"john hunter hospital","australia","29"
"aberdeen royal infirmary","uk","26"
"1st dept institute of psychiatry & neurology","poland","25"
"karnsjukhuset","sweden","25"
"a.o.  niguarda ca'granda","italy","25"
"military medical institute","poland","24"
"gosford hospital","australia","24"
"hammersmith hospitals & imperial college","uk","24"
"university hospital north norway","norway","23"
"universitatsspital basel","switzerland","22"
"koping hospital","sweden","20"
"william harvey hospital","uk","20"
"northwick park hospital","uk","20"
"hospital pero da covilh�","portugal","19"
"r.guzzardi hospital - vittoria (rg)","italy","19"
"scarborough hospital","uk","17"
"mora hospital","sweden","17"
"ospedale regionale di aosta","italy","17"
"watford general hospital","uk","17"
"countess of chester hospital nhs foundation trust","uk","17"
"westmead hospital","australia","16"
"royal perth hospital","australia","15"
"university hospitals coventry & warwickshire nhs trust","uk","15"
"szpital powiatowy","poland","14"
"kongsvinger sykehus","norway","13"
"royal bournemouth & christchurch nhs trust","uk","12"
"the canberra hospital","australia","12"
"queen elizabeth hospital (gateshead)","uk","12"
"ospedale sacro cuore - negrar verona","italy","12"
"york health services nhs trust","uk","12"
"ospedale maggiore - bologna","italy","12"
"hospital de santo ant�nio","portugal","12"
"leeds general infirmary","uk","12"
"universita degli studi di genova","italy","11"
"falu hospital","sweden","11"
"lidkopinghospital","sweden","11"
"royal brisbane and women's hospital","australia","10"
"worcestershire royal hospital","uk","10"
"blackpool victoria hospital","uk","10"
"queen elizabeth the queen mother hospital","uk","10"
"basildon & thurrock university hospitals nhs ft","uk","9"
"ospedale civlle s.andrea","italy","9"
"krankenhaus der barmherzigen bruder wien","austria","9"
"hospital s.marcos","portugal","9"
"capio s: tgoran hospital","sweden","9"
"sykehuset levanger","norway","9"
"royal infirmary of edinburgh","uk","9"
"st mary's hospital","uk","8"
"ospedale s. giovanni battista - foligno","italy","8"
"qeii health sciences centre","canada","8"
"austin health - repatriation campus","australia","8"
"solihull hospital heart of england nhs trust","uk","8"
"azienda ospedaliero-universitaria ospedali riuniti  di foggia","italy","8"
"university hospital northern - norway","norway","8"
"yeovil district hospital","uk","8"
"ospedale a vibo valentia","italy","8"
"szpital specjalistyczny w konskich","poland","8"
"ospedale valduce di como","italy","8"
"luton and dunstable hospital","uk","8"
"royal united hospital bath","uk","7"
"doncaster royal infirmary","uk","7"
"central university hospital","poland","7"
"box hill hospital","australia","7"
"nepean hospital","australia","7"
"harstad sykehus","norway","7"
"king's college hospital","uk","7"
"bristol royal infirmary","uk","6"
"stepping hill hospital","uk","6"
"university hospital north durham","uk","6"
"birmingham heartlands hospital","uk","6"
