"Draw","Country","Language","Artist","Song","English translation","Place","Points"
"01","&nbsp;United Kingdom","English","Brotherhood of Man","Save Your Kisses for Me","-","1","164"
"02","&nbsp;Switzerland","English","Peter Sue and Marc","Djambo Djambo","-","4","91"
"03","&nbsp;Germany","German","Les Humphries Singers","Sing Sang Song","-","15","12"
"04","&nbsp;Israel","Hebrew","Chocolat Menta Mastik","Emor Shalom (???? ????)","Say Hello","6","77"
"05","&nbsp;Luxembourg","French","J?rgen Marcus","Chansons pour ceux qui s'aiment","Songs for Those Who Love Each Other","14","17"
"06","&nbsp;Belgium","French","Pierre Rapsat","Judy et Cie","Judy and Company","8","68"
"07","&nbsp;Ireland","English","Red Hurley","When","-","10","54"
"08","&nbsp;Netherlands","English","Sandra Reemer","The Party's Over","-","9","56"
"09","&nbsp;Norway","English","Anne-Karine Str?m","Mata Hari","-","18","7"
"10","&nbsp;Greece","Greek","Mariza Koch","Panayia Mou Panayia Mou(??????? ??? ??????? ???)","My Lady My Lady","13","20"
"11","&nbsp;Finland","English","Fredi &amp; Friends","Pump-Pump","-","11","44"
"12","&nbsp;Spain","Spanish","Braulio","Sobran las palabras","Words are Unnecessary","16","11"
"13","&nbsp;Italy","{English|Italian}","{Al Bano|Romina Power}","We'll Live It All Again(Noi lo rivivremo di nuovo)","-","7","69"
"14","&nbsp;Austria","English","Waterloo &amp; Robinson","My Little World","-","5","80"
"15","&nbsp;Portugal","Portuguese","Carlos do Carmo","Uma flor de verde pinho","A Green Pine Flower","12","24"
"16","&nbsp;Monaco","French","Mary Cristy","Toi la musique et moi","You the Music and Me","3","93"
"17","&nbsp;France","French","Catherine Ferry","Un deux trois","One Two Three","2","147"
"18","&nbsp;Yugoslavia","Serbo-Croatian","Ambasadori","Ne mogu skriti svoju bol","I Can't Hide My Pain","17","10"
