"Trade name","Active ingredients","Pharmaceutical company"
"Lemgrip","Acetaminophen","Reckitt Benckiser"
"Lemibet","Cilastatin Sodium; Imipenem Monohydrate","Teva"
"Lemibet I.M.","Cilastatin Sodium; Imipenem Monohydrate","Teva"
"Lemibet I.V.","Cilastatin Sodium; Imipenem Monohydrate","Teva"
"Lemicin","Amikacin","Admac Pharma"
"Leminee 23","Alkyl Dimethyl Ethylbenzyl Ammonium Chloride; Benzalkonium Chloride","Avmor; H & A Caretaker Supplies 1988; Produits Capital"
"Leminee 23 Cleaner / Disinfectant","Alkyl Dimethyl Ethylbenzyl Ammonium Chloride; Benzalkonium Chloride","Avmor; Star Industries 1997"
"Leminee 64","Benzalkonium Chloride; Didecyl Dimethyl Ammonium Chloride; Dioctyl Dimethyl Ammonium Chloride; Octyl Decyl Dimethyl Ammonium Chloride","Avmor"
"Leminee Disinfectant","Benzalkonium Chloride; Didecyl Dimethyl Ammonium Chloride","Dustbane Products"
"Lemiserp","Reserpine","Unidentified Pharmaceutical Company"
