"name","h�he","typ","baujahr","see","kanton"
"grande dixence","285          m","pg","1961","401.00 mio m3","valais/wallis"
"mauvoisin","250          m","va","1957","211.50 mio m3","valais/wallis"
"luzzone","225          m","va","1963","108.00 mio m3","ticino"
"contra","220          m","va","1965","105.00 mio m3","ticino"
"emosson","180          m","va","1974","227.00 mio m3","valais/wallis"
"zeuzier","156          m","va","1957","51.00 mio m3","valais/wallis"
"g&#246;scheneralp","155          m","er","1960","76.00 mio m3","uri"
"curnera","153          m","va","1966","41.10 mio m3","graub&#252;nden/grigioni"
"zervreila","151          m","va","1957","100.50 mio m3","graub&#252;nden/grigioni"
"moiry","148          m","va","1958","78.00 mio m3","valais/wallis"
"gigerwald","147          m","va","1976","35.60 mio m3","st. gallen"
"limmern","146          m","va","1963","93.00 mio m3","glarus"
"valle di lei","141          m","va","1961","197.00 mio m3","graub&#252;nden/grigioni"
"punt dal gall","130          m","va","1968","164.60 mio m3","graub&#252;nden / italia"
"sambuco","130          m","va","1956","63.00 mio m3","ticino"
"nalps","127          m","va","1962","45.00 mio m3","graub&#252;nden/grigioni"
"hongrin nord","125          m","va","1969","53.20 mio m3","vaud"
"gebidem","122          m","va","1967","9.20 mio m3","valais/wallis"
"mattmark","120          m","te","1967","101.00 mio m3","valais/wallis"
"santa maria","117          m","va","1968","67.30 mio m3","graub&#252;nden/grigioni"
"albigna","115          m","pg","1959","71.00 mio m3","graub&#252;nden/grigioni"
"spitallamm","114          m","va","1932","101.00 mio m3","bern"
"cavagnoli","111          m","va","1968","29.00 mio m3","ticino"
"schr&#228;h","111          m","pg","1924","150.00 mio m3","schwyz"
"oberaar","100          m","pg","1953","61.00 mio m3","bern"
"r&#228;terichsboden","94          m","pg","1950","27.00 mio m3","bern"
"malvaglia","92          m","va","1959","4.60 mio m3","ticino"
"marmorera (castiletto)","91          m","te","1954","60.00 mio m3","graub&#252;nden/grigioni"
"hongrin sud","90          m","va","1969","53.20 mio m3","vaud"
"cleuson","87          m","pg","1950","20.00 mio m3","valais/wallis"
"dixence","87          m","cb","1935","50.00 mio m3","valais/wallis"
"les toules","86          m","va","1963","20.15 mio m3","valais/wallis"
"rossens","83          m","va","1947","220.00 mio m3","fribourg/freiburg"
"naret i","80          m","va","1970","31.60 mio m3","ticino"
"barberine","79          m","pg","1925","40.00 mio m3","valais/wallis"
"mapragg","75          m","pg","1976","5.30 mio m3","st. gallen"
"ch&#226;telot","74          m","va","1953","20.60 mio m3","neuch&#226;tel / france"
"z'mutt","74          m","va","1964","0.85 mio m3","valais/wallis"
"lucendro","73          m","cb","1947","25.00 mio m3","ticino"
"ova spin","73          m","va","1968","7.40 mio m3","graub&#252;nden/grigioni"
"palagnedra","72          m","pg/te","1952","4.26 mio m3","ticino"
"vasasca","69          m","va","1967","0.40 mio m3","ticino"
"robiei","68          m","pg","1967","6.70 mio m3","ticino"
"roggiasca","68          m","va","1965","0.52 mio m3","graub&#252;nden/grigioni"
"ferden","67          m","va","1975","1.89 mio m3","valais/wallis"
"b&#228;renburg","64          m","pg","1960","1.00 mio m3","graub&#252;nden/grigioni"
"solis","61          m","va","1986","4.07 mio m3","graub&#252;nden/grigioni"
"gries","60          m","pg","1965","18.60 mio m3","valais/wallis"
"sufers","58          m","va","1962","17.50 mio m3","graub&#252;nden/grigioni"
"montsalvens","55          m","va","1920","12.60 mio m3","fribourg/freiburg"
"molina","54          m","pg","1951","0.81 mio m3","graub&#252;nden/grigioni"
"panix","53          m","pg","1989","7.30 mio m3","graub&#252;nden/grigioni"
"salanfe","52          m","pg","1952","40.00 mio m3","valais/wallis"
"st-barth&#233;lemy c","51          m","va","1984","0.50 mio m3","valais/wallis"
"illgraben","50          m","pg","1970","0.00 mio m3","valais/wallis"
"schiffenen","47          m","va","1963","65.00 mio m3","fribourg/freiburg"
"isola","45          m","va","1960","6.50 mio m3","graub&#252;nden/grigioni"
