"product feature","mega zoom"
"file size","8 kb"
"flash player version","version 7 and higher"
"flash ide","flash 7 (2004) flash 8"
"image format","jpeg swf"
"active flash buttons in swfnew","NULL"
"free support period","2 months"
"adjust view area size","NULL"
"add watermarks","jpeg or swf"
"image size limit (kb)","unlimited"
"image size limit (px)","2880 &#1093; 2880"
"image preloader","NULL"
"adjusted magnification zoom stepnew","NULL"
"adjusted maximal zoom levelnew","NULL"
"adjusted initial zoom levelnew","NULL"
"source files includednew","NULL"
"use in html pagenew","NULL"
"use in flash movie (insert or loadmovie method)new","NULL"
"show/hide navigator window optionnew","NULL"
"change navigator sizenew","NULL"
"change navigator alignementnew","NULL"
