"code","airport name","city","state"
"cak","akron-canton airport","north canton","oh"
"alb","albany international airport","albany","ny"
"abq","albuquerque international sunport","albuquerque","nm"
"ama","amarillo international airport","amarillo","tx"
"anc","anchorage international airport","anchorage","ak"
"atl","atlanta international airport","atlanta","ga"
"acy","atlantic city international airport","egg harbor twp","nj"
"grb","austin straubel international airport","green bay","wi"
"aus","austin-bergstrom international airport","austin","tx"
"bwi","baltimore/washington international airport","bwi airport","md"
"btr","baton rouge international airport","baton rouge","la"
"bil","billings logan international airport","billings","mt"
"bhm","birmingham international airport","birmingham","al"
"fnt","bishop international airport","flint","mi"
"lex","blue grass airport","lexington","ky"
"boi","boise airport","boise","id"
"bos","boston logan international airport","boston","ma"
"bdl","bradley international airport","windsor locks","ct"
"buf","buffalo niagara international airport","buffalo","ny"
"bur","burbank bob hope airport","burbank","ca"
"btv","burlington international airport","south burlington","vt"
"iah","bush intercontinental airport","houston","tx"
"cid","cedar rapids eastern iowa airport","cedar rapids","ia"
"chs","charleston international airport","charleston","sc"
"clt","charlotte/douglas international airport","charlotte","nc"
"mdw","chicago midway airport","chicago","il"
"ord","chicago o&#8217;hare international airport","chicago","il"
"cvg","cincinnati/northern kentucky international airport","cincinnati","oh"
"cle","cleveland hopkins international airport","cleveland","oh"
"cos","colorado springs airport","colorado springs","co"
"cae","columbia metropolitan airport","columbia","sc"
"crp","corpus christi international airport","corpus christi","tx"
"stt","cyril e king airport","charlotte amalie","vi"
"dal","dallas love field","dallas","tx"
"dfw","dallas/fort worth international airport","dallas","tx"
"msn","dane county regional airport","madison","wi"
"day","dayton international airport","dayton","oh"
"den","denver international airport","denver","co"
"dsm","des moines international airport","des moines","ia"
"dtw","detroit metro airport","detroit","mi"
"elp","el paso international airport","el paso","tx"
"oma","eppley airfield","omaha","ne"
"fai","fairbanks international airport","fairbanks","ak"
"fll","fort lauderdale hollywood international airport","fort lauderdale","fl"
"vps","fort walton beach airport","valparaiso","fl"
