"Country","Language","File"
"USA","English","Download Now"
"Brazil","Portuguese","Download Now"
"Canada","English","Download Now"
"China","Simplified Chinese","Download Now"
"Czech Republic","Czech","Download Now"
"Denmark","Danish","Download Now"
"Finland","Finnish","Download Now"
"France","French","Download Now"
"Germany","German","Download Now"
"Italy","Italian","Download Now"
"Japan","Japanese","Download Now"
"Korea","Korean","Download Now"
"Latin America (LTAM) excluding Brasil","Spanish","Download Now"
"Netherlands","Dutch","Download Now"
"Norway","Norwegian","Download Now"
"Poland","Polish","Download Now"
"Portugal","Portuguese","Download Now"
"Russia","Russian","Download Now"
"Spain","Spanish","Download Now"
"Sweden","Swedish","Download Now"
"Taiwan","Traditional Chinese","Download Now"
"Turkey","Turkish","Download Now"
"United Kingdom","English","Download Now"
"All countries not explicitly listed above","English","Download Now"
