"&nbsp;","Capital","Currency","Language"
"United    Kingdom","London","British Pound (GBP)","English"
"Ireland","Dublin","Euro (EUR)","English Gaelic"
"France","Paris","Euro (EUR)","French"
"Germany","Berlin","Euro (EUR)","German"
"Spain","Madrid","Euro (EUR)","Spanish"
"Italy","Rome","Euro (EUR)","Italian"
"Vatican    City","Vatican City","Euro (EUR)","Italian"
"Netherlands","Amsterdam","Euro (EUR)","Dutch"
"Belgium","Brussels","Euro (EUR)","Dutch French"
"Switzerland","Bern","Swiss Franc (CHF)","French German"
"Austria","Vienna","Euro (EUR)","German"
"Greece","Athens","Euro (EUR)","Greek"
"Monaco","Monte Carlo","Euro (EUR)","French"
"Norway","Oslo","Euro (EUR)","Norwegian"
"Sweden","Stockholm","Swedish Krona (SEK)","Swedish"
"Denmark","Copenhagen","Danish Krone (DKK)","Danish"
"Finland","Helsinki","Euro (EUR)","Finnish"
"Poland","Warsaw","Polish Zloty (PLN)","Polish"
"Belarus","Minsk","Belarusian Ruble (BYR)","Belarusian Russian"
"Czech    Republic","Prague","Czech Koruna (CZK)","Czech"
"Russia","Moscow","Ruble (RUB)","Russian"
"Slovakia","Bratislava","Euro (EUR)","Slovak"
"Turkey","Istanbul","Turkish Lira (TRY)","Turkish"
"Egypt","Cairo","Egyptian Pound (EGP)","Arabic"
"Albania","Tirana","Lek (ALL)","Albanian"
"Macedonia","Skopje","Macedonian Denar (MKD)","Macedonian"
"Serbia","Belgrade","Serbian Dinar (RSD)","Serbian"
"Bulgaria","Sofia","Lev (BGN)","Bulgarian"
"Bosnia    Herzagovina","Sarajevo","Convertible Mark (BAM)","Bosnian Croatian Serbian"
"Croatia","Zagreb","Kuna (HRK)","Croatian"
"Hungary","Budapest","Forint (HUF)","Hungarian"
"Montenegro","Podgorica","EURO (EUR)","Montenegrin Serbian"
