"NULL","Manual Starter Contact kits","","",""
"Equipment to be serviced","","","","Class: 9998"
"NULL","","","","NULL"
"Class","Type","NEMA Size","# Poles in Kit","Kit #"
"2205   2605","14 Contact Compensator (1 kit required)","---","",""
"Manual","28 Contact Compensator (2 kits required)","---","---","PD-1"
"Compensator","","","",""
"","B-(Kit includes contact block)","","2","BA-22"
"2510","B-","M-0","3","BA-21"
"Manual","B-(Kit includes contact block)","","3","BA-23"
"Starters","C-(Kit includes contact block)","","2","CA-22"
"Push","C-","M-1","3","CA-21"
"Buttons","C-(Kit includes contact block)","","3","CA-23"
"","","M-0","2","ML-1"
"","M-","M-1","3","ML-2"
"","","M-1P","3","ML-2"
"","All Type W","0","3","RA-21"
"","All Type W","1","3","SA-21"
"2510","R-","M-0","3","RA-22"
"Manual","S-","M-1","3","SA-22"
"Starters","","M-0","2","ML-1"
"Toggle","T-","M-1","3","ML-2"
"Type","","M-1P","3","ML-2"
