"Country","Year joined","Language","Notes"
"{&nbsp;|Austria}","2004","German","French is spoken by 10% as additional language."
"{&nbsp;|Croatia}","2004","Croatian","French is understood and spoken by 4% of the population and the county was the Illyrian Provinces during Napoleonic rule from 1809 to 1813."
"{&nbsp;|Czech Republic}","1999","Czech","French is understood and spoken by 2% of the population."
"{&nbsp;|Georgia}","2004","Georgian","Like Armenia Georgia had a connection with the French kingdoms in the Middle Ages.&#91;citation needed&#93;"
"{&nbsp;|Hungary}","2004","Hungarian","French is understood and spoken by 2% of the population."
"{&nbsp;|Latvia}","2008","Latvian","NULL"
"{&nbsp;|Lithuania}","1999","Lithuanian","French is understood and spoken by 1% of the population."
"{&nbsp;|Mozambique}","2006","Portuguese","former Portuguese colony."
"{&nbsp;|Poland}","1996","Polish","Poland has historic ties to France; French is understood and spoken by 3% of the population and many Polish emigrants settled in France in the 20th century."
"{&nbsp;|Serbia}","2006","Serbian","French is taught in one-third of schools."
"{&nbsp;|Slovakia}","2002","Slovak","French is spoken by 2% as additional language"
"{&nbsp;|Slovenia}","1999","Slovenian","French is spoken by 4% as additional language."
"{&nbsp;|Thailand}","2008","Thai","NULL"
"{&nbsp;|Ukraine}","2006","Ukrainian","NULL"
