"referencia:","569"
"estado:","nuevo"
"marca:","longines"
"modelo:","lindbergh &quot;hour angle&quot; l2 601 4"
"género:","hombre"
"movimiento:","automático. l 614.2. 44 h reserva marcha."
"caja:","acero inoxidable brillante"
"cristal:","zafiro. esférico."
"correa/pulsera:","piel negra. original. nueva."
"cierre:","acero inoxidable. hebilla."
"esfera/dial:","blanca con círculo giratorio plata. manecillas: acero pavonado en negro. marcadores: negro."
"bisel:","acero inoxidable. giratorio bidireccional."
"corona:","acero inoxidable."
"tapa trasera:","acero inoxidable. con logo e inscripciones."
"resistencia al agua:","resistente al agua: 30 m"
"dimensiones:","diámetro: 38 mm (sin corona)grueso: 9 mm"
"peso:","571 gr (incluida correa)"
"otros datos:","con caja original de polipiel negra. con documentación completa. libro de instrucciones. con tarjeta de garantía internacional de 2 años sellada fechada en 14/10/2009."
