"animal","young","female","male","group","adjective","meat"
"aardvark","cub","sow","boar","—","orycteropodian","NULL"
"alligator","hatchling","cow","bull","congregation[7]","eusuchian","NULL"
"[[alpaca]","cria","NULL","NULL","herd","camelid (see also llama)","NULL"
"american bison (buffalo)","calf","cow","bull","herd","bovine bubaline","NULL"
"ant","larva pupa","queen worker gyne","drone","{[8]|[8]|[8]|[9]|swarm|[8]}","formic myrmecine","NULL"
"anteater","pup","sow","boar","—","NULL","NULL"
"antelope","calf[10]","doe","buck","{herd|[8]|[8]|[8]}","alcelaphine bubaline antilopine","NULL"
"ape","infant","—","—","{[1]|[7]|[8]|[11]|[7]|[8]}","simian","NULL"
"armadillo","pup baby","sow","boar","—","cingulatan","NULL"
"ass/donkey","foal","jenny","jack","{herd|[8]|[8]|[9]|[7]|[8]|[8]}","asinine","NULL"
"baboon","infant","—","NULL","{[7]|[11]|[note 1]}","NULL","NULL"
"badger","cub kit","sow","boar","{[7]|[11]}","musteline","NULL"
"barracuda","NULL","NULL","NULL","school[12]","percesocine","NULL"
"bat","pup","—","—","{[13]|[14]}","pteropine noctillionine","NULL"
"bear","{cub|[15]}","sow she-bear","boar he-bear","sleuth sloth","ursine","NULL"
"beaver","kit kitten pup","—","—","{[7]|[7]}","castorine[16]","NULL"
"bee","larva pupa","queen worker [note 2]","drone","colony drift[11] erst [11] grist [7]hive [7][11] nest[7] swarm[7][11]","apic apian apiarian","NULL"
"bison","calf","cow","bull","herd troop gang obstinacy","see also-buffalo","NULL"
"boar","shoat farrow piglet","NULL","NULL","singular sounder[7]","NULL","NULL"
"buffalo","calf","cow","bull","{[7]|[7]|[7]|[7]}","NULL","NULL"
"bush baby","infant","queen","king drake","congress gathering plot","galagine","NULL"
"butterfly","caterpillar larva pupa chrysalis","NULL","NULL","{[7]|swarm army (caterpillars)}","pieridine pierinelepidopteran","NULL"
"camel","calf","cow","bull","{flock|[7]|[7]}","camelid cameline","NULL"
"caribou","calf","NULL","NULL","herd","NULL","NULL"
"cat","{kitten|kit}","molly queen pussy","tom [note 3]","clowder[7][11] cluster[7] clutter glaring[7][11] pounce[7]kindle (young)","feline","NULL"
"caterpillar","NULL","NULL","NULL","army[7] constituency","NULL","NULL"
"{cattle|[note 4]}","{calf|[17]}","cow[18]","bull","{herd|[7]|[3]|[7]|[7]}","bovine[note 5] vituline (young) vaccine (female) taurine (male)","{beef|veal}"
"chamois","calf","doe","bull","herd","rupicaprine","NULL"
"cheetah","cub","NULL","NULL","coalition[19]","NULL","NULL"
"chicken","chick peep","hen pullet","{rooster|[note 6]}","{flock|[7]|[7]}","galline","poultry"
"chimpanzee","infant","empress","blackback","troop group harem","panine","NULL"
"chinchilla","tureturle kit","velvet sow","boar bull","herd","chinchilline","NULL"
"[[clam]","larva","NULL","NULL","bed","NULL","NULL"
"cobra","NULL","NULL","NULL","quiver[20]","elapid","NULL"
"cockroach","nymph","NULL","NULL","intrusion[20]","blattid","NULL"
"[[codfish]","codling hake sprag sprat","NULL","NULL","school","NULL","NULL"
"cormorant","chick","NULL","NULL","gulp[20] flight","NULL","NULL"
"coyote","cub pup whelp","bitch","dog","pack train","canine","NULL"
"crab","—","hen","cock jimmy","consortium cast","cancrine","NULL"
"crane","chick colt[21]","NULL","NULL","herd sedge siege","alectorine","NULL"
"crocodile","hatchling","cow","bull","{[7]|[7]}","crocodilian","NULL"
"crow","NULL","NULL","NULL","{[7]|[11]|[3]}","corvine","NULL"
"deer","calf[10] fawn","doe hind cow[10]","buck stag bull[10] hart (red deer)","{[22]|herd|[22]|[22]|[22]}","cervine elaphine","venison humble (organ meat)"
"[[dinosaur]","hatchling juvenile","cow","bull","herd (herbivores) pack (carnivores)","NULL","NULL"
"dog","{[6]|puppy}","bitch dam","dog stud sire","{[22]|[22]}","canine","NULL"
"dogfish","NULL","NULL","NULL","troop[22]","NULL","{rock salmon|flake|[23]}"
"dolphin","calf pup","cow","bull","{herd|[3]}","delphine","NULL"
"donkey","see ass","NULL","NULL","NULL","NULL","NULL"
"dove","chick squal","hen","cock","{[7]|[11]|[22]|[7]|[22]|[7]|[11]|[22]|[11]|[22]|[7]}","columbine","NULL"
"dragonfly","nymph","queen","king drake","cluster flight","anisopteran","NULL"
"duck -see also mallard","duckling","duck hen","drake","on land - flock herd badelynge  brace[9] safe[11] sord[22] sore[22] waddling[22]on water - bunch[11][22] paddling[11][22] raft[11][22]in flight - skein[22] string[22] team[22]","anatine fuliguline","poultry"
"dugong","calf","cow","bull","herd","dugongine","NULL"
"eagle","eaglet fledgling","—","—","convocation brood aerie","aquiline","NULL"
"echidna","puggle","sow","boar","—","tachyglossine","NULL"
"eel","leptocephalus (larva) elver (juvenile)","—","—","swarm cell pipe array","NULL","NULL"
"eland","calf","cow","bull","herd","NULL","NULL"
"elephant","calf[17]","cow[18]","bull[24]","{herd|flock}","proboscine proboscidean","NULL"
"elephant seal","calf","cow","bull","herd pack arrangement","miroungan","NULL"
"elk (wapiti)","calf[10]","cow[10]","bull[10]","gang herd","cervine","venison"
"[[emu]","chick hatchling","NULL","NULL","mob","NULL","NULL"
"falcon","eyass/eyas","falcon","tiercel tercel terzel","cast","acciptrine","NULL"
"ferret","kit","jill","hob[note 7]","busyness[1] business fesny(i)ng fesynes","musteline","NULL"
"finch","chick","hen","cock","quiver","fringilline","NULL"
"[[fish]","fry fingerling","NULL","NULL","draft run school shaol","NULL","NULL"
"fly","maggot","NULL","NULL","swarm cloud business","dipterous","NULL"
"fox","{[15]|[6]}","vixen","tod dog dog fox reynard","{[7]|[9]|[7]|[9]}","vulpine","NULL"
"frog","polliwog tadpole froglet","-","-","army colonybundlefester knot","ranine","NULL"
"gaur","calf","cow","bull","herd","bovine gaurine","garabeef"
"gazelle","calf[10]","cow[10]","bull[10]","herd","gazelline","NULL"
"gerbil","pup","doe","buck","horde","cricetine","NULL"
"giant panda","cub","sow","boar","NULL","NULL","NULL"
"giraffe","calf","cow doe","bull","{herd|[25]}","giraffine","NULL"
"[[gnat]","larva","NULL","NULL","cloud horde","NULL","NULL"
"gnu","calf","cow","bull","herd","NULL","NULL"
"goat","kid","nanny doe doeling","billy buck[note 8] buckling","herd mob tribe trip","caprine hircine","{chevon|cabrito|mutton}"
"goose","gosling","goose","gander","on ground - flock gagglein flight - skein[11] team[11] wedge[11]","anatine anserine","poultry"
"[[gopher -see prairie dog]","NULL","NULL","NULL","NULL","NULL","NULL"
"gorilla","infant","—","blackbacksilverback","troop group (band)","simian","NULL"
"[[grasshopper]","nymph","NULL","NULL","swarm","NULL","NULL"
"[[grouse]","NULL","NULL","NULL","covey","NULL","NULL"
"guanaco","chulengo","NULL","NULL","NULL","camelid","NULL"
"guinea fowl","chick","hen","cock","flock[26]","numidine","poultry"
"guinea pig","pup","sow","boar","herd","NULL","NULL"
"gull","chick scorrie[27]","hen","cock","flock","larine","NULL"
"hamster","pup","doe","buck","horde saladbowl[citation needed]","cricetid","NULL"
"hare","leveret","doe jill","buck jack","band down warren husk","leverine leporine","NULL"
"hawk","eyas","hen","tiercel","cast kettle boil[note 9]","accipitrine falconine","NULL"
"hedgehog","hoglet piglet pup","sow","boar","array[3]","erinaceine","NULL"
"heron","chick","hen","cock","siege sedge","NULL","NULL"
"hippopotamus","calf","cow","bull","{herd|[20]}","hippopotamine","NULL"
"[[hog -see pig]","NULL","NULL","NULL","NULL","NULL","NULL"
"hornet","larvae pupae","queen","drone","swarm","vespine","NULL"
"{horse|[note 10]}","{foal|colt|filly}","mare dam","stallion stud","herd band mob team (work horses) stable harras string or field (race horses)","equine","NULL"
"human","child girl boy","woman","man","band crowd clan tribe","human","{[28]|cannibalism}"
"[[hummingbird]","chick","hen","cock","charm","NULL","NULL"
