"datum","spiel","&nbsp;","&nbsp;","&nbsp;","1","2","#"
"09.02. 00:00","temple owls - george washington","","","NULL","1.11","10.00","19"
"09.02. 00:30","michigan state - penn state nittany lions","","","NULL","1.08","11.00","21"
"09.02. 01:00","ball state - bowling green","","","NULL","1.72","2.66","20"
"09.02. 01:00","baylor - kansas jayhawks","","","NULL","1.83","2.14","24"
"09.02. 01:00","boston college - florida state seminoles","","","NULL","10.00","1.11","23"
"09.02. 01:00","central florida - marshall","","","NULL","1.54","2.77","18"
"09.02. 01:00","central michigan - buffalo bulls","","","NULL","3.00","1.45","19"
"09.02. 01:00","delaware - north carolina wilmington seahawks","","","NULL","1.40","3.35","16"
"09.02. 01:00","east carolina - memphis tigers","","","NULL","3.35","1.40","13"
"09.02. 01:00","eastern michigan - kent state","","","NULL","3.73","1.35","20"
"09.02. 01:00","george mason - hofstra pride","","","NULL","1.21","5.68","21"
"09.02. 01:00","georgia state - northeastern","","","NULL","1.23","5.16","18"
"09.02. 01:00","james madison - drexel","","","NULL","3.65","1.33","21"
"09.02. 01:00","morehead state - jacksonville state","","","NULL","1.43","3.10","19"
"09.02. 01:00","richmond - la salle explorers","","","NULL","2.14","1.91","22"
"09.02. 01:00","south florida - pittsburgh","","","NULL","2.43","1.72","21"
"09.02. 01:00","syracuse orange - georgetown","","","NULL","1.22","5.12","24"
"09.02. 01:00","toledo rockets - ohio bobcats","","","NULL","3.90","1.30","21"
"09.02. 01:00","western michigan - akron","","","NULL","2.35","1.70","20"
"09.02. 01:00","william and mary - old dominion monarchs","","","NULL","5.80","1.18","17"
"09.02. 01:00","xavier musketeers - rhode island","","","NULL","1.07","11.00","20"
"09.02. 01:30","massachusetts - st. bonaventure","","","NULL","1.65","2.53","18"
"09.02. 01:30","va commonwealth - towson","","","NULL","1.01","31.00","3"
"09.02. 01:30","virginia - wake forest","","","NULL","1.08","10.00","22"
"09.02. 02:00","alabama blazers - southern miss. golden eagles","","","NULL","2.45","1.67","19"
"09.02. 02:00","bradley - indiana state sycamores","","","NULL","3.10","1.43","17"
"09.02. 02:00","houston cougars - rice owls","","","NULL","2.18","1.87","14"
"09.02. 02:00","illinois state - drake bulldogs","","","NULL","1.30","3.97","18"
"09.02. 02:00","smu - tcu","","","NULL","1.79","2.20","17"
"09.02. 02:00","southern illinois - missouri state","","","NULL","2.50","1.62","17"
"09.02. 02:00","tennessee - south carolina","","","NULL","1.32","3.85","18"
"09.02. 02:00","wichita state shockers - northern iowa","","","NULL","1.18","5.75","18"
"09.02. 02:30","nebraska - michigan","","","NULL","2.40","1.65","20"
"09.02. 03:00","north carolina tar heels - duke blue devils","","","NULL","1.40","3.40","23"
"09.02. 03:00","rutgers scarlets knights - seton hall pirates","","","NULL","1.91","2.02","18"
"09.02. 03:00","utep - tulsa","","","NULL","2.15","1.85","19"
"09.02. 03:00","vanderbilt commodores - lsu tigers","","","NULL","1.15","6.50","17"
"09.02. 03:00","west virginia mountaineers - notre dame","","","NULL","1.36","3.60","20"
