"Country","Operator","Distribution Type","Language"
"Canada","Telus Communications","ADSL","English French"
"Canada","Ethnic Channel Group","ADSL","8 languages"
"Canada","Cogeco Cable Canada","cable","English"
"Canada","Mountain Cablevision limited","cable","English"
"Canada","Rogers Cable Communications","cable","English French"
"Canada","Videotron","cable","French"
"Latin America","Cablevision Mexico","cable","English French Spanish"
"United States","Echostar Dish TV","satellite","6 languages (all except Spanish)"
"United States","CSC Holdings Inc.","cable","English"
"West Indies","CanalSat Cara?bes","satellite","English French German Spanish Italian"
