"logo","name","norm","pcrpid","apid","language"
"NULL","ado fm","dvb-s mpeg-2","168","253","french"
"NULL","bbc world service arabic","dvb-s mpeg-2","169","1946","arabic"
"NULL","bbc world service english","dvb-s mpeg-2","169","1951","english"
"NULL","beur fm","dvb-s mpeg-2","169","1945","french"
"NULL","bfm","dvb-s mpeg-2","168","1918","french"
"NULL","chérie fm","dvb-s mpeg-2","168","249","french"
"NULL","contact fm","dvb-s mpeg-2","168","245","french"
"NULL","europe 1","dvb-s mpeg-2","168","1911","french"
"NULL","fg dj radio","dvb-s mpeg-2","168","243","french"
"NULL","fip","dvb-s mpeg-2","1904","1903","french"
"NULL","france bleu île de france","dvb-s mpeg-2","1904","1907","french"
"NULL","france culture","dvb-s mpeg-2","1904","1906","french"
"NULL","france info","dvb-s mpeg-2","1904","1904","french"
"NULL","france inter","dvb-s mpeg-2","1904","1905","french"
"NULL","france musique","dvb-s mpeg-2","1904","1901","french"
"NULL","fun radio","dvb-s mpeg-2","168","240","french"
"NULL","jazz radio","dvb-s mpeg-2","168","254","french"
"NULL","judaïques fm","dvb-s mpeg-2","169","1944","french"
"NULL","latina","dvb-s mpeg-2","168","247","french"
"NULL","le mouv'","dvb-s mpeg-2","1904","241","french"
"NULL","medi 1 radio méditerranée int.","dvb-s mpeg-2","169","1949","french"
"NULL","monte carlo doualiya","dvb-s mpeg-2","168","1915","arabic"
"NULL","nostalgie","dvb-s mpeg-2","168","246","french"
"NULL","nrj","dvb-s mpeg-2","168","236","french"
"NULL","oui fm","dvb-s mpeg-2","168","252","french"
"NULL","radio alfa","dvb-s mpeg-2","169","1943","portuges"
"NULL","radio classique","dvb-s mpeg-2","168","1909","french"
"&nbsp;","radio courtoisie","dvb-s mpeg-2","169","1952","french"
"&nbsp;","radio j","dvb-s mpeg-2","169","1944","french"
"NULL","radio notre dame","dvb-s mpeg-2","169","1942","french"
"NULL","radio nova","dvb-s mpeg-2","168","242","french"
"NULL","radio shalom","dvb-s mpeg-2","169","1944","french"
"&nbsp;","rcj - radio communauté juive","dvb-s mpeg-2","169","1944","french"
"NULL","rfi","dvb-s mpeg-2","168","1908","french"
"NULL","rfi multilingues","dvb-s mpeg-2","169","1947","multilingual"
"NULL","rfm","dvb-s mpeg-2","168","248","french"
"NULL","rire et chansons","dvb-s mpeg-2","168","1913","french"
"NULL","rmc","dvb-s mpeg-2","168","1912","french"
"NULL","skyrock","dvb-s mpeg-2","168","239","french"
"NULL","sud radio","dvb-s mpeg-2","168","1914","french"
"NULL","tsf jazz","dvb-s mpeg-2","168","1916","french"
"NULL","vibration","dvb-s mpeg-2","168","244","french"
"NULL","virgin radio france","dvb-s mpeg-2","168","237","french"
"NULL","voltage","dvb-s mpeg-2","168","251","french"
"&nbsp;","wrn français","dvb-s mpeg-2","169","1932","french"
