"Country","{Language|Requirement}","{Gap Year|Program?}","Country","{Language|Requirement}","{Gap Year|Program?}"
"Argentina","No","Yes","Australia and New Zealand","No","Yes"
"Austria","No","Yes","Belgium","Yes","Yes"
"Brazil","No","Yes","Bulgaria","No","Yes"
"Chile","Yes","No","China","No","Yes"
"Czech Republic","No","Yes","Denmark","No","Yes"
"Ecuador","No","Yes","Estonia","No","Yes"
"Finland","No","Yes","France","Yes","Yes"
"Germany","No","Yes","Ghana","No","Yes"
"Greece","No","No","Hungary","No","Yes"
"India","No","Yes","Italy","No","No"
"Japan","No","No","Kazakhstan","No","Yes"
"Korea","No","Yes","Latvia","No","Yes"
"Lithuania","No","Yes","Mexico","No","Yes"
"Moldova","No","Yes","Netherlands","No","Yes"
"Norway","No","Yes","Poland","No","No"
"Romania","No","Yes","Russia","No","Yes"
"Slovakia","No","Yes","South Africa","No","Yes"
"Spain","Yes","Yes","Sweden","No","Yes"
"Switzerland","Yes","No","Thailand","No","Yes"
"Turkey","No","No","Uruguay","No","Yes"
"Venezuela","No","Yes","Vietnam","No","No"
