"wrestler","height","weight"
"akeem/one man gang","6'9&quot;","457 lbs."
"andre the giant","6'11&quot;","520 lbs."
"arn anderson","6'0&quot;","249 lbs."
"bad news brown","unknown","271 lbs."
"bam bam bigelow","6'3&quot;","368 lbs."
"barry horowitz","5'10&quot;","227 lbs."
"bart gunn","6'5&quot;","260 lbs."
"batista","6'6&quot;","317 lbs."
"big daddy","6'6&quot;","350 lbs."
"big show","7'1&quot;","400 lbs."
"bill goldberg","6'4","290 lbs."
"billy gunn","6'5&quot;","254 lbs."
"billy/benny mcguire","--","1598(total) lbs."
"blackjack bradshaw","6'9&quot;","309 lbs."
"blackjack wyndham","6'5&quot;","273 lbs."
"bob backlund","6'1&quot;","234 lbs."
"bob holly","6'1&quot;","231 lbs."
"bret hart","6'0&quot;","234 lbs."
"brian christopher","5'10&quot;","230 lbs."
"brian nobbs","6'1&quot;","295 lbs."
"brian pillman","6'0&quot;","226 lbs."
"british bulldog","5'10&quot;","253 lbs."
"brock lesnar","6'4","295 lbs."
"brooklyn brawler","6'0&quot;","231 lbs."
"bruce","5'9&quot;","212 lbs."
"brutus beefcake","6'4&quot;","271 lbs."
"buff bagwell","6'1&quot;","240 lbs."
"bushwacker butch","6'0&quot;","255 lbs."
"bushwacker luke","6'1&quot;","244 lbs."
"chris benoit","5'10&quot;","218 lbs."
"crush","6'6&quot;","318 lbs."
"curt hennig","6'3&quot;","257 lbs."
"dean douglas","6'0&quot;","223 lbs."
"dean malenko","5'9&quot;","216 lbs."
"ddp","6'5&quot;","260 lbs."
"disco inferno","6'0&quot;","238 lbs."
"don muraco","6'3&quot;","270 lbs."
"doug furnas","5'11&quot;","243 lbs."
"duke droese","6'5&quot;","306 lbs."
"dusty rhodes","6'3&quot;","289 lbs."
"earthquake","6'4&quot;","462 lbs."
"eddy guerrero","5'8&quot;","221 lbs."
"the executioner","6'4&quot;","289 lbs."
"fatu","6'1&quot;","401 lbs."
"faarooq","6'3&quot;","272 lbs."
"flash funk","5'11&quot;","235 lbs."
"freddie joe floyd","6'1&quot;","227 lbs."
"gene snitsky","6'4&quot;","300 lbs."
"the genius","6'0","252 lbs."
"giant gonzales","7'7&quot;","435 lbs."
"giant haystacks","6'11&quot;","685 lbs."
"gorilla monsoon","6'6&quot;","400 lbs."
"giant silva","7'3&quot;","403 lbs."
"greg &quot;the hammer&quot; valentine","6'0&quot;","248 lbs."
"hacksaw jim duggan","6'3&quot;","280 lbs."
"haku","6'0&quot;","273 lbs."
"headbanger mosh","6'0&quot;","243 lbs."
"headbanger thrasher","6'2&quot;","242 lbs."
"henry o. godwinn","6'7&quot;","288 lbs."
"hercules","6'1","275 lbs."
"hillbilly jim","6'7&quot;","286 lbs."
"honky tonk man","6'1&quot;","258 lbs."
"hulk hogan","6'8&quot;","303 lbs."
"hunter hearst helmsley","6'4&quot;","246 lbs."
"iron shiek","6'0&quot;","262 lbs."
"irwin r. sheister","6'3&quot;","248 lbs."
"jake &quot;the snake&quot; roberts","6'5&quot;","253 lbs."
"jeff jarrett","5'10&quot;","230 lbs."
"jerry saggs","6'3&quot;","290 lbs."
"jerry lawler","6'0&quot;","234 lbs."
"jesse james","6'4&quot;","240 lbs."
"jesse ventura","6'4&quot;","245 lbs."
"jim duggan","6'3&quot;","280 lbs."
"jimmy hart","5'10","166 lbs."
"jimmy &quot;superfly&quot; snuka","6'0&quot;","250 lbs."
"jim neidhart","6'1&quot;","281 lbs."
"john cena","6'1&quot;","248 lbs."
"josh mathews","5'9&quot;","143 lbs."
"kamala","6'7&quot;","345 lbs."
