"name","vollständiger name","regierungszeit","anmerkungen"
"honorius","flavius honorius","395–423","{theodosius i.|arcadius|eugenius|stilicho}"
"&#160;&#160;gildo","unbekannt","397–398","usurpator (?) in africa"
"&#160;&#160;marcus","unbekannt","406","usurpator in britannien"
"&#160;&#160;gratian","unbekannt","407","usurpator in britannien"
"konstantin (iii.)","flavius claudius constantinus","407–411","{constans (ii.|caesar|caesar: julian}"
"&#160;&#160;priscus attalus","unbekannt","409–410  414–415","{alarich|athaulf}"
"&#160;&#160;maximus","unbekannt","409/10–411  418/19–420/21","{gerontius|gunderich}"
"&#160;&#160;jovinus","unbekannt","411–413","{gundahar|goar|sebastianus}"
"&#160;&#160;heraclianus","unbekannt","412–413","usurpator (?) in africa"
"constantius iii.","flavius constantius","421","mitkaiser des honorius (mitregent seit 417) von theodosius ii. nicht anerkannt"
"johannes","unbekannt","423–425","durch castinus (?) von theodosius ii. nicht anerkannt"
"valentinian iii.","flavius placidus valentinianus","425–455","{caesar|galla placidia|aëtius|geiserich}"
"&#160;&#160;vortigern","unbekannt","426–441?","usurpator (?) in britannien; nachfolger:&#160;?ambrosius aurelianus"
"&#160;&#160;pirrus","unbekannt","428","usurpator (?) in italien"
"petronius maximus","flavius petronius maximus","455","{markian|caesar:|palladius}"
"avitus","flavius eparchius avitus","455–456","durch theoderich ii. von markian nicht anerkannt (?)"
"majorian","flavius iulius valerius maiorianus","457–461","{ricimer|caesar|leo i.}"
"&#160;&#160;marcellus","unbekannt","457?","usurpator (?) in gallien"
"libius severus","flavius libius severus","461–465","durch ricimer von leo i. nicht anerkannt (?)"
"&#160;&#160;aegidius","unbekannt","461–464/65","{paulus|syagrius}"
"anthemius","flavius procopius anthemius","467–472","467 caesar unter leo i.; mitregent: ricimer (bis 470/71)"
"&#160;&#160;arvandus","unbekannt","468","usurpator (?) in gallien (durch eurich)"
"&#160;&#160;romanus","unbekannt","470","usurpator (?) in italien (durch ricimer?)"
"olybrius","flavius anicius olybrius","472","durch ricimer (und geiserich?) gegen anthemius von leo i. nicht anerkannt (?)"
"glycerius","unbekannt","473–474","durch gundobad von leo i. nicht anerkannt"
"julius nepos","flavius iulius nepos","474–480","{caesar|leo ii.|zenon}"
"romulus augustulus","romulus a(u)gustus","475–476","{orestes|odoaker}"
