"scientific name","family name","common name","synonyms"
"abies fraseri","pinaceae","fraser fir","NULL"
"abies grandis","pinaceae","grand fir","NULL"
"abies lasiocarpa","pinaceae","subalpine fir","NULL"
"abies magnifica","pinaceae","california red fir","NULL"
"acacia angustissima","fabaceae","white ball acacia","prairie acacia"
"acacia constricta","fabaceae","whitethorn acacia","mescat acacia"
"acacia greggii","fabaceae","catclaw acacia","tearblanket devil's claw"
"acacia koa","fabaceae","koa","NULL"
"acacia neovernicosa","fabaceae","viscid acacia","NULL"
"acer circinatum","aceraceae","vine maple","NULL"
"acer glabrum var. douglasii","aceraceae","douglas maple","NULL"
"acer macrophyllum","aceraceae","bigleaf maple","NULL"
"acer negundo","aceraceae","boxelder","NULL"
"acer nigrum","aceraceae","black maple","acer saccharum ssp. nigrum"
"acer pensylvanicum","aceraceae","striped maple","moosewood"
"acer platanoides","aceraceae","norway maple","NULL"
"acer rubrum","aceraceae","red maple","NULL"
"acer saccharinum","aceraceae","silver maple","NULL"
"acer saccharum","aceraceae","sugar maple","NULL"
"acer spicatum","aceraceae","mountain maple","NULL"
"achillea millefolium","asteraceae","common yarrow","NULL"
"achnatherum occidentale ssp. occidentale","poaceae","western needlegrass","stipa occidentalis"
"actaea pachypoda","ranunculaceae","white baneberry","doll's eyes actaea alba"
"adiantum pedatum","pteridaceae","northern maidenhair fern","NULL"
"aesculus  flava","hippocastanaceae","yellow buckeye",""
"aesculus  glabra","hippocastanaceae","ohio buckeye",""
"aesculus hippocastanum","hippocastanaceae","horse chestnut","NULL"
"aesculus parviflora","hippocastanaceae","bottlebrush buckeye","NULL"
"aesculus pavia","hippocastanaceae","red buckeye","NULL"
"agalinis tenuifolia","scrophulariaceae","slenderleaf false foxglove","gerardia tenuifolia"
"agave ocahui","agavaceae","century plant","ocahui"
"agave palmeri","agavaceae","palmer's century plant","NULL"
"agave vilmoriniana","agavaceae","octopus agave","NULL"
"ageratina altissima","asteraceae","white snakeroot","eupatorium rugosum"
"agrimonia pubescens","rosaceae","downy agrimony","soft agrimony"
"agrimonia rostellata","rosaceae","woodland agrimony","beaked agrimony"
"ailanthus altissima","simaroubaceae","tree of heaven","stinktree"
"albizia julibrissin","mimosaceae","mimosa","silk-tree"
"alliaria petiolata","brassicaceae","garlic mustard","NULL"
"allium canadense","liliaceae","meadow garlic","canada garlic wild garlic"
"allium cernuum","liliaceae","nodding wild onion","nodding onion"
"allium vineale","liliaceae","wild garlic","field garlic crow garlic scallions"
"alnus rubra","betulaceae","red alder","NULL"
"alnus serrulata","betulaceae","hazel alder","common alder"
"ambrosia artemisiifolia","asteraceae","common ragweed","annual ragweed"
"ambrosia deltoidea","asteraceae","triangle bursage","triangle burr ragweed fraseria deltoidea"
"ambrosia trifida","asteraceae","giant ragweed","NULL"
"amelanchier alnifolia","rosaceae","saskatoon serviceberry","NULL"
"amelanchier arborea","rosaceae","downy serviceberry","NULL"
"ampelopsis cordata","vitaceae","heartleaf ampelopsis","heartleaf peppervine"
"amphiachyris dracunculoides","asteraceae","prairie broomweed","NULL"
"amsonia tabernaemontana","apocynaceae","blue star","eastern blue star"
"anaphalis margaritacea","asteraceae","western pearly everlasting","NULL"
"anemone canadensis","ranunculaceae","canadian anemone","NULL"
"anemone caroliniana","ranunculaceae","carolina anemone","NULL"
"andropogon gerardii","poaceae","big bluestem","NULL"
"angelica triquinata","apiaceae","mountain angelica","filmy angelica"
"antennaria plantaginifolia","asteraceae","plantain-leaf pussy-toes","woman's tobacco"
"antennaria solitaria","asteraceae","singlehead pussytoes","solitary pussytoes"
"anemone virginiana","ranunculaceae","thimbleweed","tall thimbleweed"
"apios americana","fabaceae","groundnut","NULL"
"apocynum cannabinum","apocynaceae","indian hemp","hemp dogbane"
"aquilegia canadensis","ranunculaceae","red columbine","NULL"
"arabis laevigata","brassicaceae","smooth rock cress","sickle-pod mustard"
"arabis perstellata","brassicaceae","braun's rock cress","NULL"
"aralia spinosa","araliaceae","devil's walkingstick","hercules' club"
"arbutus arizonica","ericaceae","arizona madrone","arizona madrono"
"arbutus menziesii","ericaceae","pacific madrone","NULL"
"arctium minus","asteraceae","lesser burrdock","NULL"
"arctostaphylos pungens","ericaceae","pointleaf manzanita","NULL"
"arctostaphylos sp.","ericaceae","manzanita","NULL"
"arenaria capillaris","caryophyllaceae","slender mountain sandwort","NULL"
"argemone pleiacantha","papaveraceae","prickly poppy","southwestern prickly poppy bluestem pricklepoppy thistle poppy chicalote cowboy's fried egg"
"arisaema dracontium","araceae","green dragon","NULL"
"arisaema triphyllum","araceae","jack in the pulpit","NULL"
"aristida stricta","poaceae","wiregrass","pineland threeawn"
"aristolochia macrophylla","aristolochiaceae","dutchman's pipe","pipevine"
"arabis shortii","brassicaceae","short's rockcress","NULL"
"aristolochia tomentosa","aristolochiaceae","pipe vine","woolly dutchman's pipe"
"artemisia tridentata","asteraceae","big sagebrush","NULL"
"artemisia tripartita","asteraceae","threetip sagebrush","NULL"
"aruncus dioicus","saxifragaceae","goatsbeard","bride's feathers"
"arundinaria gigantea","poaceae","giant cane","NULL"
"asarum canadense","aristolochiaceae","canadian wild ginger","NULL"
"asclepias exaltata","asclepiadaceae","poke milkweed","NULL"
"asclepias incarnata","asclepiadaceae","swamp milkweed","NULL"
"asimina obovata","annonaceae","bigflower pawpaw","flag pawpaw"
"asclepias purpurascens","asclepiadaceae","purple milkweed","NULL"
"asclepias quadrifolia","asclepiadaceae","four leaf milkweed","NULL"
"asclepias syriaca","asclepiadaceae","common milkweed","NULL"
"asclepias tuberosa","asclepiadaceae","butterflyweed","butterfly milkweed"
