"Country","Currency","Denominations"
"Canada","Dollar","5102050100"
"Denmark","Krone","1002005001000"
"Europe **","Euro","5102050100200500"
"Fiji","Dollar","25102050"
"French Pacific","Franc","5001000500010000"
"Hong Kong","Dollar","20501005001000"
"Indonesia","Rupiah","5000100002000050000100000"
"Japan","Yen","10002000500010000"
"Malaysia","Ringgit","51050100"
"Malta","Lira","51020"
"New Zealand","Dollars","5102050100"
"Norway","Kroner","1002005001000"
"Papua New Guinea","Kina","5102050"
"Philippines","Peso","1020501005001000"
"Singapore","Dollars","2510501005001000"
"South Africa","Rand","102050100200"
"South Korean","Won","1000500010000"
"Sweden","Krona","501005001000"
"Taiwan","Dollar","1005001000"
"Thailand","Baht","1020501005001000"
"United States","Dollars","15102050100"
"United Kingdom","Pound","5102050"
"Vanuatu","Vatu","50010005000"
