"宣佈日/dec","企業/company","季別/quarter","預估eps/consensus estimate"
"2011/1/31","popular inc","jan 31-04","-0.01"
"2011/1/31","popular inc","jan 31-04","-0.01"
"2011/1/24","popular inc","jan 24-28","-0.01"
"2011/1/24","popular inc","jan 24-28","-0.01"
"2011/1/21","popular inc","jan 24-28","-0.01"
"2011/1/18","popular inc","jan 24-28","-0.01"
"2011/1/18","popular inc","jan 24-28","-0.01"
"2011/1/18","popular inc","jan 24-28","-0.01"
"2011/1/17","popular inc","jan 17-21","-0.01"
"2011/1/17","popular inc","jan 17-21","-0.01"
"2011/1/14","popular inc","jan 17-21","-0.01"
"2011/1/14","popular inc","jan 17-21","-0.01"
"2011/1/14","popular inc","jan 17-21","-0.01"
"2011/1/13","popular inc","jan 17-21","-0.01"
"2011/1/12","popular inc","jan 17-21","-0.01"
"2011/1/11","popular inc","jan 17-21","-0.01"
"2010/10/18","popular inc","oct 25-29","-0.02"
"2010/10/15","popular inc","oct 18-22","-0.02"
"2010/7/19","popular inc","jul 26-30","-0.05"
"2010/7/16","popular inc","jul 19-23","-0.05"
"2010/7/15","popular inc","jul 19-23","-0.05"
"2010/7/14","popular inc","jul 19-23","-0.05"
"2010/7/14","popular inc","jul 19-23","-0.05"
"2010/7/13","popular inc","jul 19-23","-0.05"
"2010/7/13","popular inc","jul 19-23","-0.05"
"2010/7/9","popular inc","jul 12-16","-0.05"
"2010/7/8","popular inc","jul 12-16","-0.05"
"2010/7/7","popular inc","jul 12-16","-0.05"
"2010/4/19","popular inc","apr 26-30","-0.15"
"2010/4/19","popular inc","apr 26-30","-0.15"
"2010/4/14","popular inc","apr 19-23","-0.25"
"2009/10/19","popular inc","oct 26-29","-0.3"
