"&nbsp;","Large Clear Purple Black Blue Emerald Olive Green or Champagne Colored Pear Shaped and Tiny Round Clear Cz Diamonds Silver Pendant with a 16in or 18in Chain","Large Clear Purple Black Blue Emerald Olive Green or Champagne Colored Pear Shaped and Tiny Round Clear Cz Diamonds Silver Pendant with a 16in or 18in Chain"
"&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","Product     No.:&nbsp;      GZSP1019","Product     No.:&nbsp;      GZSP1019"
"&nbsp;","&nbsp;","&nbsp;"
"","Color / Size:&nbsp;               Purple Cz Silver Pendant 16in Chain - $15.99 Purple Cz Silver Pendant 18in Chain - $17.99","Color / Size:&nbsp;               Purple Cz Silver Pendant 16in Chain - $15.99 Purple Cz Silver Pendant 18in Chain - $17.99"
"&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","Description:&nbsp;    Crafted from 925 sterling silver this pendant features a large colorful pear shaped cubic zirconium diamond.","Description:&nbsp;    Crafted from 925 sterling silver this pendant features a large colorful pear shaped cubic zirconium diamond."
"&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","Regular Store Price:&nbsp; $     32.99","Regular Store Price:&nbsp; $     32.99"
"&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","Special     Price:&nbsp; $     15.99","Special     Price:&nbsp; $     15.99"
"&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","You save: 52%","You save: 52%"
"&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","{Quantity:|}","{Quantity:|}"
"&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","NULL","NULL"
"NULL","&nbsp;","&nbsp;"
"&nbsp;","{Sort: 925 Sterling Silver Necklace|Measurement: 1 x 1/2|Weight: 6gram/piece|Crystal Color Availability: Clear(sold out) Purple Black(sold out) Blue(sold out) Emerald(sold out) Olive Green(sold out)?or Champagne|Chain: 16in or 18in sterling silver chain}","{Sort: 925 Sterling Silver Necklace|Measurement: 1 x 1/2|Weight: 6gram/piece|Crystal Color Availability: Clear(sold out) Purple Black(sold out) Blue(sold out) Emerald(sold out) Olive Green(sold out)?or Champagne|Chain: 16in or 18in sterling silver chain}"
