"Draw","Country","Language","Artist","Song","English translation","Place","Points"
"01","&nbsp;Portugal","Portuguese","Doce","Bem bom","Very good","13","32"
"02","&nbsp;Luxembourg","French","Svetlana","Cours apr?s le temps","Run after time","6","78"
"03","&nbsp;Norway","Norwegian","{Jahn Teigen|AnitaSkorgan}","Adieu","Goodbye","12","40"
"04","&nbsp;UnitedKingdom","English","Bardo","One StepFurther","?","7","76"
"05","&nbsp;Turkey","Turkish","Neco","Hani?","Where?","15","20"
"06","&nbsp;Finland","Finnish","Kojo","Nukupommiin","Sleep until the bomb","18","0"
"07","&nbsp;Switzerland","French","ArletteZola","Amour ont'aime","Love we love you","3","97"
"08","&nbsp;Cyprus","Greek","Anna Vissi","Mono I Agapi(???? ? ?????)","Only love","5","85"
"09","&nbsp;Sweden","Swedish","Chips","Dag efterdag","Day after day","8","67"
"10","&nbsp;Austria","German","Mess","Sonntag","Sunday","9","57"
"11","&nbsp;Belgium","French","Stella","Si tu aimes ma musique","If you like my music","4","96"
"12","&nbsp;Spain","Spanish","Luc?a","?l","He","10","52"
"13","&nbsp;Denmark","Danish","Brixx","VideoVideo","?","17","5"
"14","&nbsp;Yugoslavia","Serbo-Croatian","Aska","Halo Halo","Hello hello","14","21"
"15","&nbsp;Israel","Hebrew","AviToledano","Hora(????)","Hora","2","100"
"16","&nbsp;Netherlands","Dutch","Bill vanDijk","Jij en ik","You and I","16","8"
"17","&nbsp;Ireland","English","The Duskeys","Here Today Gone Tomorrow","?","11","49"
"18","&nbsp;Germany","German","Nicole","Ein bi?chen Frieden","A little peace","1","161"
