"species","no of days(24)","max no","sites"
"little grebe","10","20+","klbbrmslgv"
"little cormorant","12","50+","klchbbrmslgv"
"indian cormorant","4","20+","klbb"
"great cormorant","8","20+","klagchbb"
"oriental darter","6","20+","klrm"
"little egret","15","20+","klagchbbrmslgv"
"grey heron","15","20+","klagchbbrmslcbgv"
"purple heron","7","10+","klbbrm"
"great white egret","17","20+","klagchbbrmslgvcb"
"intermediate egret","10","50+","klagbbrmslgv"
"cattle egret","14","100+","klagbbrmslgvcb"
"indian pond heron","16","50+","klagchbbrmslgvcb"
"striated/little heron","1","2","kl"
"black-crowned night-heron","7","30+","klbbgv"
"black bittern","4","3","kl"
"species","no of days(24)","max no","sites"
"painted stork","11","100+","klagchbbrm"
"asian openbill","6","10+","klbb"
"black stork","2","2","cb"
"woolly-necked stork","9","6","klchrm"
"black-necked stork","7","6","klcb"
"glossy ibis","4","10+","kl"
"black-headed ibis","11","30+","klagbbrmsl"
"red-naped/black ibis","4","10+","klagchbb"
"eurasian spoonbill","8","20+","klagbb"
"lesser whistling duck","6","50+","klch"
"greylag goose","7","50+","klbbrm"
"bar-headed goose","6","50+","klchbb"
"ruddy shelduck","9","50+","klagchbbrmsl"
"comb duck","7","30","klbbrm"
"cotton pygmy-goose","6","20+","klbb"
"species","no of days(24)","max no","sites"
"eurasian wigeon","8","50+","klchbbrm"
"gadwall","9","100+","klchbbrm"
"common teal","12","100+","klagchbbrmsl"
"mallard","3","6","klbb"
"spot-billed duck","8","50+","klchbb"
"northern pintail","10","1000+","klchbbrmsl"
"garganey","2","2+","kl"
"northern shoveler","11","100+","klbbrmsl"
"red-crested pochard","4","40+","klch"
"common pochard","6","30+","klbb"
"ferruginous duck","5","20+","kl"
"tufted duck","3","10","klbb"
"osprey","3","1","slcb"
"oriental honey-buzzard","7","5","klbbrmcbgv"
"black-shouldered kite","10","4","klbbrmgvcb"
"species","no of days(24)","max no","sites"
"black kite","12","500+","klagchrmkrcbrn"
"pallas' fish-eagle","3","4","krcb"
"grey-headed fish-eagle","1","1","cb"
"lesser fish-eagle","6","3","klcb"
"lammergeier","1","1","pg"
"egyptian vulture","11","20+","klagchbbgvcb"
"white-rumped vulture","3","2","klcb"
"indian/long-billed vulture","4","10","rmkrcb"
"{himalayan griffon vulture|eurasian griffon vulture}","8","20+","krcbrnpgmg"
"cinereous vulture","2","2","cbrn"
"red-headed/king vulture","8","6+","klrmkrcbst"
"short-toed eagle","3","1","klchbb"
"crested serpent eagle","8","4","klbbrmcb"
"western marsh harrier","6","5","klbb"
"species","no of days(24)","max no","sites"
"hen harrier","2","4","cb"
"pallid harrier","1","1","kl"
"shikra","10","2","klbbrmkrcb"
"eurasian sparrowhawk","10","3","klrmpg"
"white-eyed buzzard","1","1","kl"
"common buzzard","3","2","rnmg"
"long-legged buzzard","1","2","ch"
"lesser spotted eagle","2","2","kl"
"greater spotted eagle","6","10+","klrn"
"steppe eagle","11","200+","klkrcbrnmgpg"
"imperial eagle","6","3","klbbkr"
"bonelli's eagle","3","1","klpgmg"
"booted eagle","3","2","klbb"
"changeable hawk-eagle","3","4","krcb"
"common falconet","1","1","kr"
"species","no of days(24)","max no","sites"
"common kestrel","7","2","klchbbrn"
"laggar falcon","1","1","mg"
"chukar","1","3","rn"
"grey francolin","12","10+","klbbrmcb"
"black francolin","5","4","cbrnpgbj"
"jungle bush quail","1","10","rm"
"painted spurfowl","1","1","rm"
"koklass pheasant","2","3","pg"
"kalij pheasant","5","10","cbrnpgbj"
"red junglefowl","5","10+","krcb"
"common/indian peafowl","17","50+","klagchbbrmgvkrcb"
"brown crake","6","3","klbbrmcb"
"white-breasted waterhen","12","20+","klbbrmslst"
"purple swamphen","6","20+","klbb"
"common moorhen","10","50+","klbbrmslgv"
"species","no of days(24)","max no","sites"
"eurasian coot","7","500+","klchbb"
"sarus crane","6","10","klrmgv"
"common crane","2","25+","kl"
"pheasant-tailed jacana","3","5","klbb"
"bronze-winged jacana","6","10+","klbb"
"black-winged stilt","14","100+","klagchbbrmslgv"
"pied avocet","3","100+","klrmgv"
"eurasian thick-knee","1","1","rm"
"great thick-knee","3","6","chrm"
"indian courser","1","2+","kl"
"little ringed plover","2","10+","chbb"
"kentish plover","2","10+","chsl"
"northern lapwing","1","2+","kl"
"yellow-wattled lapwing","3","3+","klch"
"red-wattled lapwing","21","100+","klagchbbrmslgvkrcbrn"
"species","no of days(24)","max no","sites"
"sociable lapwing","1","6+","kl"
"river lapwing","5","20+","agchkrcb"
"white-tailed lapwing","5","6","klbb"
"pintail snipe","3","1+","klrm"
"common snipe","5","2","klbbsl"
"black-tailed godwit","6","30+","klbbrmslgv"
"eurasian curlew","1","1","bb"
"common redshank","10","10","klagchbbslgv"
"spotted redshank","6","3","klbbrmsl"
"marsh sandpiper","1","1","bb"
"common greenshank","11","6","klagchbbrmslgv"
"green sandpiper","14","6","klagchbbrmslgv"
"wood sandpiper","8","10+","klagchbbrmslgvcb"
"common sandpiper","8","3","klagchbbslst"
"temminck's stint","4","20+","chbbsl.gv"
"species","no of days(24)","max no","sites"
"ruff","7","10+","klagbb"
"brown-headed gull","4","3","agslgv"
"gull-billed tern","1","1","sl"
"river tern","6","30","chbbrmcb"
"black-bellied tern","1","2","ch"
