"","","",""
"San Juan to San Juan","San Juan to San Juan","San Juan to San Juan","San Juan to San Juan"
"8 DAY/7 NIGHT CRUISE","8 DAY/7 NIGHT CRUISE","8 DAY/7 NIGHT CRUISE","8 DAY/7 NIGHT CRUISE"
"Cruise Departure: April 16 2003","Cruise Departure: April 16 2003","Cruise Departure: April 16 2003","Cruise Departure: April 16 2003"
"DATE","PORT","ARRIVE","DEPART"
"Wednesday        April 16","San Juan Puerto Rico                Embark Radisson Diamond","&nbsp;","5:00 PM"
"Thursday        April 17","Day at Sea","&nbsp;","&nbsp;"
"Friday        April 18","Bridgetown Barbados","9:00 AM","8:00 PM"
"Saturday        April 19","Fort de France Martinique","8:00 AM","5:00 PM"
"Sunday        April 20","St. Maarten Netherlands Antilles","1:00 PM","9:00 PM"
"Monday        April 21","St. Kitts British West Indies","8:00 AM","6:00 PM"
"Tuesday        April 22","St. Thomas U.S. Virgin Islands","8:00 AM","7:00 PM"
"Wednesday        April 23","San Juan Puerto Rico                Disembark Radisson Diamond","8:00 AM","&nbsp;"
