"Language","Publisher","Contact Info"
"Canada","Ariane Editions Inc.","www.ariane.qc.ca"
"Czech Republic","Metafora Publishers","www.metafora.cz"
"Germany","Koha Verlag GmbH","www.koha-verlag.de"
"Italy","Macro Gruppo Editoriale Srl.","www.macroedizioni.it"
"Poland","Studio Astropsychologii","www.studioastro.pl"
"Portugal","Sinais de Fogo","www.sinaisdefogo.pt"
"Romania","s.c. Editura For You srl","www.editura-foryou.ro"
"Slovakia","Columbus","www.knihy-columbus.sk"
"Slovenia","Cangura d.o.o.","www.cangura.com"
"Taiwan","China Citic Press","www.publish.citic.com"
